#,Club(s),Club(s),Compétition,Dépenses,Arrivées,Revenus,Départs,Solde
57,,Association sportive Roanne,France,-,2,-,2,+-0
58,,FC Watford,Angleterre,-,4,-,5,+-0
59,,Gimnasia y Esgrima de Ciudadela,Argentine,-,4,-,4,+-0
60,,Centro Iqueño,Pérou,-,1,-,0,+-0
61,,AC Libertas Milano,Italie,-,2,-,7,+-0
62,,SK Berufschauffeure Praterstern (-1936),Autriche,-,1,-,1,+-0
63,,ZSG der VEB Meißen,Allemagne,-,1,-,1,+-0
64,,SGS Fortitudo,Italie,-,9,-,14,+-0
65,,Association Royale Athlétique Gent,Belgique,-,8,-,5,+-0
66,,Ethnikos Le Pirée,Grèce,-,1,-,2,+-0
67,,AC Cantù GS San Paolo,Italie,-,2,-,2,+-0
68,,LASK,Autriche,-,14,-,10,+-0
69,,Cardiff City,Pays de Galles,-,9,-,11,+-0
70,,Palamós CF,Espagne,-,1,-,1,+-0
71,,SK Estika Tallinn,Estonie,-,1,-,1,+-0
72,,Racing Club,Superliga,-,18,-,24,+-0
73,,Deportivo Alavés,Espagne,-,51,360 €,51,0 K €
74,,Goole Town FC,Angleterre,-,1,-,1,+-0
75,,Nicese,Italie,-,1,-,1,+-0
76,,Vigevano Calcio,Serie B,-,59,-,54,+-0
77,,ZDKA,Vyschaya Liga (- 1991),-,54,-,32,+-0
78,,Viareggio 2014,Italie,-,4,-,5,+-0
79,,FC Sochaux-Montbéliard,Ligue 1,-,20,-,10,+-0
80,,SC Vöslau,Autriche,-,1,-,1,+-0
81,,Floridsdorfer AC,Bundesliga,-,35,-,41,+-0
82,,Sportvereinigung der Strassenbahner Wiens,Autriche,-,17,-,17,+-0
83,,Montevarchi Calcio Aquila 1902,Italie,-,8,-,9,+-0
84,,Metallurg Moscou,Vyschaya Liga (- 1991),-,43,-,24,+-0
85,,Quick Nijmegen,Pays-Bas,-,1,-,1,+-0
86,,Peterborough United,Angleterre,-,2,-,1,+-0
87,,ASV Spratzern,Autriche,-,1,-,1,+-0
88,,SV Rudolfshügel-Phönizia,Autriche,-,1,-,1,+-0
89,,Duisburger SpV,Allemagne,-,3,-,5,+-0
90,,Club Atlético Talleres,Argentine,-,1,-,0,+-0
91,,Acqui US 1911,Italie,-,8,-,7,+-0
92,,Empoli FC,Italie,-,16,-,15,+-0
93,,FV Saarbrücken,Allemagne,-,3,-,2,+-0
94,,Uralmash Ekaterinburg,Russie,-,3,-,3,+-0
95,,JS Estonia Tallinn,Estonie,-,19,-,8,+-0
96,,Carrarese Calcio 1908,Italie,-,9,-,15,+-0
97,,RV & AV Sparta,Pays-Bas,-,5,-,9,+-0
98,,AS Cusiana,Italie,-,3,-,3,+-0
99,,Hietzinger SC (- 1940),Autriche,-,2,-,1,+-0
100,,Karlsruher FV,Allemagne,-,3,-,3,+-0
101,,Schwaben Augsburg,Allemagne,-,3,-,3,+-0
102,,KSV Siemens,Autriche,-,1,-,1,+-0
103,,Ross County FC,Écosse,-,1,-,0,+-0
104,,Gloria Arad,Roumanie,-,3,-,2,+-0
105,,Club Ferro Carril Oeste,Superliga,-,13,-,12,+-0
106,,Esbjerg fB,Danemark,-,1,-,1,+-0
107,,Bromley FC,Angleterre,-,1,-,3,+-0
108,,SSV Jahn Regensburg,Allemagne,-,1,-,0,+-0
109,,Lancaster City FC,Angleterre,-,1,-,1,+-0
110,,Spartak Kalinin,Russie,-,1,-,1,+-0
111,,SpVgg Fürth,Allemagne,-,18,-,27,+-0
112,,ASV Neufeld,Autriche,-,2,-,2,+-0
113,,AVC Heracles,Pays-Bas,-,1,-,1,+-0
114,,Törekvés SE,Hongrie,-,3,-,9,+-0
115,,ACD Asti Calcio,Italie,-,8,-,2,+-0
116,,Manchester City,Angleterre,-,17,520 €,11,1 K €
117,,SC Frem Wien (- 1931),Autriche,-,1,-,1,+-0
118,,SpVgg Oberhausen,Allemagne,-,1,-,1,+-0
119,,Melzo,Italie,-,5,-,1,+-0
120,,Arminia Hannover,Allemagne,-,4,-,2,+-0
121,,Dinamo Ivanovo,URSS,-,8,-,8,+-0
122,,Club Atletico Excursionistas,Argentine,-,1,-,1,+-0
123,,Donostia,Espagne,-,75,270 €,77,0 K €
124,,CF Calella,Espagne,-,1,-,2,+-0
125,,Kispesti FC,Hongrie,-,12,-,10,+-0
126,,FC Rouen,Ligue 1,-,11,-,3,+-0
127,,ACD Sammargheritese,Italie,-,1,-,1,+-0
128,,Alloa Athletic FC,Écosse,-,1,-,1,+-0
129,,SG Blau-Weiß Dessau,Allemagne,-,2,-,0,+-0
130,,Darlington FC (- 2012),Angleterre,-,4,-,2,+-0
131,,TuS Altrip,Allemagne,-,1,-,1,+-0
132,,Shipka Sofia,Bulgarie,-,6,-,5,+-0
133,,Deportivo Torrelavega,Espagne,-,9,-,10,+-0
134,,Dinamo Kirov,Russie,-,1,-,1,+-0
135,,Club Brugge KV,Belgique,-,6,-,5,+-0
136,,LPS Banatul Timisoara,Roumanie,-,1,-,2,+-0
137,,Troyes Omni Sports,France,-,2,-,2,+-0
138,,Koninklijke HFC Haarlem,Pays-Bas,-,2,-,2,+-0
139,,BVC Bloemendaal,Pays-Bas,-,1,-,1,+-0
140,,AC Padova,Serie B,-,76,-,101,+-0
141,,SV Altmannsdorf (- 1933),Autriche,-,1,-,1,+-0
142,,ASC Seregno,Italie,-,19,-,19,+-0
143,,Petrarca Padova,Italie,-,2,-,5,+-0
144,,Dinamo Tashkent (-1954),URSS,-,1,-,1,+-0
145,,SV Norden-Nordwest 1898 Berlin,Allemagne,-,1,-,3,+-0
146,,KSC Eendracht Aalst,Belgique,-,3,-,1,+-0
147,,Torpedo Moskau II,Russie,-,1,-,1,+-0
148,,SC Victoria Hamburg,Allemagne,-,5,-,8,+-0
149,,Tubantia Borgerhout,Belgique,-,1,-,0,+-0
150,,Zvezda Orekhovo-Zuevo,Russie,-,5,-,6,+-0
151,,FC ÖMV Stadlau,Autriche,-,1,-,1,+-0
152,,SC Brühl SG,Suisse,-,5,-,5,+-0
153,,Tersana FC,Égypte,-,1,-,2,+-0
154,,Rapallo Ruentes Rivarolese,Italie,-,10,-,10,+-0
155,,GVAV Rapiditas,Pays-Bas,-,1,-,1,+-0
156,,MTV München,Allemagne,-,1,-,0,+-0
157,,Klippans FF,Suède,-,1,-,1,+-0
158,,Suzzara Calcio 2000,Italie,-,1,-,1,+-0
159,,SC Metallum Wien (- 1939),Autriche,-,19,-,21,+-0
160,,Duisburger SC 1900,Allemagne,-,1,-,1,+-0
161,,Riesaer SV,Allemagne,-,1,-,0,+-0
162,,Holstein Kiel Formation,Allemagne,-,1,-,0,+-0
163,,KRC Borgerhout,Belgique,-,1,-,1,+-0
164,,SEF Torres 1903,Italie,-,9,-,8,+-0
165,,SV Kurhessen,Allemagne,-,1,-,1,+-0
166,,AD SS Signa 1914,Italie,-,1,-,1,+-0
167,,SK Jugoslavija,Yougoslavie (RFS),-,9,-,8,+-0
168,,Borussia Mönchengladbach,Allemagne,-,2,-,0,+-0
169,,Stal Voroshilovsk,Ukraine,-,1,-,1,+-0
170,,FC Bayern Hof (- 2005),Allemagne,-,1,-,1,+-0
171,,Corinthians São Paulo,Brésil,-,22,-,23,+-0
172,,Raith Rovers FC,Écosse,-,3,-,3,+-0
173,,Szeged-Csanád - GA,Hongrie,-,1,-,1,+-0
174,,Olimpia Asunción,Paraguay,-,3,-,2,+-0
175,,Bohemians CKD Praha,Tchéquie,-,10,-,10,+-0
176,,SC Herzogenburg,Autriche,-,1,-,2,+-0
177,,DSV München,Allemagne,-,1,-,2,+-0
178,,IA Sud America Montevideo,Uruguay,-,2,-,3,+-0
179,,Aberaman FC,Pays de Galles,-,1,2 K €,1,2 K €
180,,Sportklub Sofia,Bulgarie,-,9,-,7,+-0
181,,ETO FC Győr,Hongrie,-,1,-,2,+-0
182,,Queen of the South FC,Écosse,-,5,-,4,+-0
183,,Entente Sportive Biterroise,France,-,1,-,1,+-0
184,,Bournemouth and Boscombe Athletic,Angleterre,-,7,710 €,5,1 K €
185,,SC Union 03 Altona,Allemagne,-,2,-,4,+-0
186,,SK Slovan,Autriche,-,24,-,27,+-0
187,,AD Ferroviaria,Espagne,-,4,-,4,+-0
188,,Kaposvári Rákóczi FC,Hongrie,-,1,-,2,+-0
189,,FC Barcelone jeunes,Espagne,-,1,-,5,+-0
190,,VfL Germania 94,Allemagne,-,1,-,1,+-0
191,,Dunfermline Athletic FC,Écosse,-,1,-,1,+-0
192,,GV Club Deportivo San José Oruro,Bolivie,-,2,-,1,+-0
193,,Mülheimer SV 06,Allemagne,-,1,-,1,+-0
194,,Giulianova Calcio,Italie,-,2,-,1,+-0
195,,Guecho,Espagne,-,2,-,2,+-0
196,,AFC Rochdale,Angleterre,-,1,-,1,+-0
197,,Servette FC,Super League,-,21,-,19,+-0
198,,SK Prostejov,Tchéquie,-,5,-,2,+-0
199,,Preußen Danzig,Allemagne,-,1,-,0,+-0
200,,FC Badalona,Espagne,-,23,-,24,+-0
201,,AS Ambrosiana-Inter,Serie A,-,147,-,180,+-0
202,,AS Saint-Étienne,France,-,9,-,4,+-0
203,,ACD Sammargheritese,Italie,-,1,-,1,+-0
204,,Alloa Athletic FC,Écosse,-,1,-,1,+-0
205,,VV Heerenveen,Pays-Bas,-,3,-,0,+-0
206,,FC Bâle 1893,Super League,-,17,-,15,+-0
207,,TJ Jednota Zilina,Slovaquie,-,2,-,2,+-0
208,,Clube Atlético Mineiro,Brésil,-,6,-,6,+-0
209,,Sokol Slavia Praha,Tchéquie,-,32,-,18,+-0
210,,SK Bata Zlin,Tchéquie,-,2,-,2,+-0
211,,Racing Club Brüssel (- 1963),Belgique,-,8,-,9,+-0
212,,Macomerese Calcio,Italie,-,1,-,1,+-0
213,,C & FC Hermes-DVS,Pays-Bas,-,3,-,3,+-0
214,,Nadwiślan Kraków,Pologne,-,1,-,2,+-0
215,,América Futebol Clube,Brésil,-,1,-,1,+-0
216,,Nottingham Forest,Angleterre,-,11,-,8,+-0
217,,SV Blau-Weiß Berlin,Allemagne,-,1,-,2,+-0
218,,Grêmio Porto Alegre,Brésil,-,2,-,3,+-0
219,,Lokomotiv Krasnoyarsk,Russie,-,1,-,1,+-0
220,,Pro Vercelli Primavera,Italie,-,1,-,5,+-0
221,,SK Rapid Wien II,Autriche,-,1,-,5,+-0
222,,BSC Old Boys,Suisse,-,2,-,3,+-0
223,,ASD Liberty Bari 1909,Italie,-,6,-,10,+-0
224,,GVAV Groningen,Pays-Bas,-,1,-,0,+-0
225,,Alessandria US,Serie B,-,86,-,126,+-0
226,,Rimini FC,Italie,-,9,-,4,+-0
227,,Dynamo Odessa,Vyschaya Liga (- 1991),-,22,-,6,+-0
228,,TSV 1860 München,Allemagne,-,9,-,7,+-0
229,,Virtus Villadossola,Italie,-,1,-,0,+-0
230,,CA Vélez Sarsfield,Superliga,-,9,-,4,+-0
231,,L'Aquila Calcio,Italie,-,27,-,19,+-0
232,,Heart of Midlothian FC,Écosse,-,6,-,5,+-0
233,,GAIS Göteborg,Suède,-,8,-,11,+-0
234,,Waseda University,Japon,-,1,-,2,+-0
235,,Shelbourne FC,Irlande,-,5,-,8,+-0
236,,SpVgg Feuerbach,Allemagne,-,1,-,3,+-0
237,,VfB Mödling,Autriche,-,5,-,2,+-0
238,,Associazione Calcio Thiene,Italie,-,2,-,4,+-0
239,,Lokomotiv Plovdiv,Bulgarie,-,1,-,0,+-0
240,,Levski Sofia,Bulgarie,-,50,-,33,+-0
241,,Dinamo Makhachkala,Russie,-,1,-,1,+-0
242,,Venus UCB Bucarest,Roumanie,-,10,-,1,+-0
243,,CD Ferroviarios de Chile,Chili,-,2,-,2,+-0
244,,WKG BSG Neumeyer Nürnberg,Allemagne,-,1,-,0,+-0
245,,FC Concordia Basel,Suisse,-,4,-,4,+-0
246,,Ethnikos Le Pirée,Grèce,-,1,-,2,+-0
247,,FC Watford,Angleterre,-,4,-,5,+-0
248,,SpVgg Klaipeda,Lituanie,-,1,-,1,+-0
249,,De Spartaan Amsterdam,Pays-Bas,-,3,-,4,+-0
250,,Alicante FC,Espagne,-,2,-,2,+-0
