#,Club(s),Club(s),Compétition,Dépenses,Arrivées,Revenus,Départs,Solde
62,,HNK Segesta Sisak,Croatie,-,1,-,0,+-0
63,,UVV Utrecht,Pays-Bas,-,2,-,0,+-0
64,,Racing Club,Argentine,-,12,-,2,+-0
65,,Olympique de Marseille,France,-,1,-,1,+-0
66,,BSG Stahl Nordwest Leipzig,Allemagne,-,1,-,1,+-0
67,,NAC,Pays-Bas,-,2,-,1,+-0
68,,VOC Rotterdam,Pays-Bas,-,2,-,3,+-0
69,,Falkirk FC,Écosse,-,2,-,2,+-0
70,,US Milanese,Italie,-,1,-,2,+-0
71,,Bradford Park Avenue,Angleterre,-,1,-,1,+-0
72,,Santos FC,Brésil,-,2,-,0,+-0
73,,Mohun Bagan AC,Inde,-,1,-,0,+-0
74,,SV Blauw-Wit,Pays-Bas,-,2,-,0,+-0
75,,Club Atlético Lanús,Argentine,-,1,-,1,+-0
76,,Ticha Varna,Bulgarie,-,1,-,0,+-0
77,,R. Léopold Club Brussel,Belgique,-,6,-,5,+-0
78,,Quilmes Atlético Club,Argentine,-,4,-,3,+-0
79,,BSG Einheit Leipzig Ost,Allemagne,-,10,-,6,+-0
80,,Athletic de Madrid,Espagne,-,2,-,1,+-0
81,,CVV Velocitas Breda,Pays-Bas,-,4,-,5,+-0
82,,Workington AFC,Angleterre,-,1,-,0,+-0
83,,Leeds United,Angleterre,-,6,-,4,+-0
84,,VfL Köln 1899 e.V.,Allemagne,-,1,-,0,+-0
85,,Boldklubben 1903,Danemark,-,3,-,1,+-0
86,,Bradford City,Angleterre,-,6,-,6,+-0
87,,SV Wacker Leipzig,Allemagne,-,1,-,0,+-0
88,,CA Huracán,Argentine,-,3,-,1,+-0
89,,Oldham Athletic,Angleterre,-,2,-,1,+-0
90,,Krasnoe Znamya Orekhovo-Zuevo,Russie,-,2,-,1,+-0
91,,CA Banfield,Argentine,-,1,-,1,+-0
92,,FC Hohenzollern Halle,Allemagne,-,1,-,0,+-0
93,,Brechin City FC,Écosse,-,1,-,1,+-0
94,,AVV DOS Utrecht,Pays-Bas,-,1,-,1,+-0
95,,TSV Lyra,Belgique,-,1,-,0,+-0
96,,AC Firenze,Italie,-,1,-,1,+-0
97,,Fin de carrière,,-,182,-,0,+-0
98,,VfB Mödling,Autriche,-,1,-,0,+-0
99,,Arbroath FC,Écosse,-,1,-,1,+-0
100,,SV Norden-Nordwest 1898 Berlin,Allemagne,-,1,-,0,+-0
101,,Nottingham Forest,Angleterre,-,2,-,1,+-0
102,,1.FC Pforzheim U17,Allemagne,-,1,-,1,+-0
103,,Greenock Morton FC,Écosse,-,5,-,5,+-0
104,,Union 92 Berlin,Allemagne,-,2,-,0,+-0
105,,Montevideo Wanderers,Uruguay,-,3,-,2,+-0
106,,Holstein Kiel,Allemagne,-,5,-,1,+-0
107,,Wellington Town,Angleterre,-,1,-,1,+-0
108,,DFC Dordrecht,Pays-Bas,-,4,-,2,+-0
109,,Düsseldorfer SC 99,Allemagne,-,1,-,1,+-0
110,,SG Pro Vercelli,Italie,-,9,-,3,+-0
111,,Port Vale FC,Angleterre,-,1,-,2,+-0
112,,Català SC (-192x),Espagne,-,2,-,4,+-0
113,,DSV 04 Lierenfeld,Allemagne,-,1,-,0,+-0
114,,Go Ahead,Pays-Bas,-,1,-,1,+-0
115,,Piemonte,Italie,-,4,-,5,+-0
116,,CD Numancia,Espagne,-,1,-,1,+-0
117,,Universitary SC (- 1918),Espagne,-,5,-,6,+-0
118,,Bohemian Football Club,Irlande,-,1,-,0,+-0
119,,Fenerbahce,Turquie,-,3,-,0,+-0
120,,Arenas Club,Espagne,-,2,-,0,+-0
121,,Modena FC,Italie,-,1,-,0,+-0
122,,Manchester City,Angleterre,-,5,-,5,+-0
123,,33 Football Club,Hongrie,-,1,-,0,+-0
124,,Club Atlético Los Andes,Argentine,-,1,-,1,+-0
125,,Grêmio Esportivo Brasil (RS),Brésil,-,1,-,0,+-0
126,,Racing Club Brüssel (- 1963),Belgique,-,29,-,22,+-0
127,,FC Southampton,Angleterre,-,4,-,4,+-0
128,,Jarrow FC,Angleterre,-,1,-,1,+-0
129,,Bayern Munich,Allemagne,-,5,-,2,+-0
130,,Royale Union Saint Gilloise,Belgique,-,25,-,11,+-0
131,,AVC Vitesse,Pays-Bas,-,3,-,2,+-0
132,,IFK Göteborg,Suède,-,4,-,4,+-0
133,,FC Viktoria 1889 Berlin,Allemagne,-,5,-,2,+-0
134,,Freiburger FC,Allemagne,-,3,-,1,+-0
135,,Haarlem,Pays-Bas,-,10,-,6,+-0
136,,Holland Amsterdam,Pays-Bas,-,1,-,2,+-0
137,,CA Fénix,Uruguay,-,1,-,0,+-0
138,,CA River Plate,Argentine,-,7,-,2,+-0
139,,Aberdeen FC,Écosse,-,1,-,1,+-0
140,,Institute FC,Irlande du Nord,-,1,-,1,+-0
141,,Clyde FC,Écosse,-,3,-,3,+-0
142,,Dundee FC Reserves,Écosse,-,1,-,1,+-0
143,,Casale FBC,Italie,-,3,-,0,+-0
144,,1. SV Jena,Allemagne,-,1,-,0,+-0
145,,Wiener AF,Bundesliga,-,10,-,2,+-0
146,,Grêmio Porto Alegre,Brésil,-,1,-,0,+-0
147,,ASV Hertha Wien (- 1931),Bundesliga,-,1,-,0,+-0
148,,St. Johnstone FC,Écosse,-,1,-,0,+-0
149,,West Bromwich Albion,Angleterre,-,3,-,3,+-0
150,,Wisla Cracovie,Pologne,-,1,-,0,+-0
151,,FC Rotherham Town,Angleterre,-,1,-,2,+-0
152,,Savona FBC,Italie,-,1,-,0,+-0
153,,FC Bâle 1893,Super League,-,2,-,2,+-0
154,,ACD Nardò,Italie,-,1,-,0,+-0
155,,Ferencvárosi TC,Hongrie,-,17,-,7,+-0
156,,Bolton Wanderers,Angleterre,-,4,-,2,+-0
157,,HV & CV Quick,Pays-Bas,-,6,-,5,+-0
158,,Notts County,Angleterre,-,2,-,1,+-0
159,,Daring Club Brüxelles,Belgique,-,15,-,8,+-0
160,,Brighton & Hove Albion,Angleterre,-,2,-,1,+-0
161,,FC Watford,Angleterre,-,2,-,1,+-0
162,,SC Preußen Duisburg,Allemagne,-,2,-,2,+-0
163,,Glentoran FC,Irlande du Nord,-,4,1 K €,4,1 K €
164,,Olimpia Asunción,Paraguay,-,1,-,0,+-0
165,,Koninklijke HFC Haarlem,Pays-Bas,-,1,-,0,+-0
166,,Arthurlie FC,Écosse,-,1,-,1,+-0
167,,1.FC Nürnberg,Allemagne,-,4,-,0,+-0
168,,Bromley FC,Angleterre,-,2,-,0,+-0
169,,Schwarz-Weiß Essen,Allemagne,-,1,-,0,+-0
170,,ASN Pfeil Phönix,Allemagne,-,1,-,1,+-0
171,,FC Walsall,Angleterre,-,1,280 €,1,0 K €
172,,Holstein Kiel Formation,Allemagne,-,1,-,0,+-0
173,,Royal Entente Dison-Verviers,Belgique,-,1,-,0,+-0
174,,Darwen FC,Angleterre,-,2,-,3,+-0
175,,Como FBC,Italie,-,1,-,0,+-0
176,,Inconnu,,-,154,440 €,602,0 K €
177,,1.FC Nürnberg U17,Allemagne,-,1,-,0,+-0
178,,FC Millwall,Angleterre,-,2,-,1,+-0
179,,1.FC Pforzheim,Allemagne,-,5,-,3,+-0
180,,Wasquehal Football,France,-,1,-,0,+-0
181,,Athletic Bilbao,Espagne,-,15,-,13,+-0
182,,FuCC Cricket-Viktoria 1897 Magdeburg,Allemagne,-,1,-,0,+-0
183,,Plymouth Argyle,Angleterre,-,2,-,2,+-0
184,,Bristol Rovers,Angleterre,-,1,-,1,+-0
185,,Club Español de Madrid (- 1913),Espagne,-,11,-,20,+-0
186,,Albion Rovers FC,Écosse,-,1,-,1,+-0
187,,Be Quick (Gr.),Pays-Bas,-,4,-,2,+-0
188,,FBC Torino,Italie,-,10,-,9,+-0
189,,Essener SC Preußen 02,Allemagne,-,1,-,0,+-0
190,,Norwich City,Angleterre,-,1,-,1,+-0
191,,Milan FBCC,Italie,-,11,-,10,+-0
192,,BNZ Rapid Wien U19,Autriche,-,1,-,1,+-0
193,,FC Internazionale,Italie,-,8,-,2,+-0
194,,Clube Atlético Ypiranga (SP),Brésil,-,4,-,1,+-0
195,,Huddersfield Town,Angleterre,-,1,-,0,+-0
196,,Kölner BC,Allemagne,-,1,-,0,+-0
197,,Dulwich Hamlet,Angleterre,-,1,-,1,+-0
198,,Hannover 96,Allemagne,-,1,-,0,+-0
199,,Stade Raphaëlois,France,-,1,-,1,+-0
200,,Wolverhampton Wanderers,Angleterre,-,2,-,2,+-0
201,,East Stirlingshire FC,Écosse,-,1,-,0,+-0
202,,FC Zürich,Super League,-,2,-,2,+-0
203,,Mariebergs IK,Suède,-,1,-,0,+-0
204,,DFC Prag,Tchéquie,-,6,-,5,+-0
205,,Dundee United FC,Écosse,-,3,-,1,+-0
206,,Lisburn Distillery FC,Irlande du Nord,-,3,70 €,2,0 K €
207,,Luton Town,Angleterre,-,1,-,2,+-0
208,,Bonner FV (- 1965),Allemagne,-,2,-,0,+-0
209,,Aston Villa Reserves,Angleterre,-,1,-,1,+-0
210,,Linfield FC,Irlande du Nord,-,5,-,6,+-0
211,,AC Sparta,Tchéquie,-,4,-,2,+-0
212,,Berliner SC,Allemagne,-,3,-,2,+-0
213,,CA Talleres (Remedios de Escalada),Argentine,-,1,-,1,+-0
214,,Vigo Sporting Club,Espagne,-,2,-,4,+-0
215,,SG Andrea Doria,Italie,-,4,-,3,+-0
216,,IA Sud America Montevideo,Uruguay,-,1,-,0,+-0
217,,St. Mirren FC,Écosse,-,1,-,1,+-0
218,,Unión Club de Irún,Espagne,-,3,-,1,+-0
219,,Wiener Sport-Club,Bundesliga,-,3,-,3,+-0
220,,FC Viktoria 1889 Berlin Formation,Allemagne,-,1,-,0,+-0
221,,Shrewsbury Town,Angleterre,-,1,-,1,+-0
222,,Budapesti AK,Hongrie,-,1,-,0,+-0
223,,WVV Wageningen,Pays-Bas,-,2,-,0,+-0
224,,Lazio Rome,Italie,-,1,-,0,+-0
225,,Peebles Rovers FC,Écosse,-,1,-,1,+-0
226,,Royal Antwerp FC,Belgique,-,6,-,3,+-0
227,,Blyth Spartans,Angleterre,-,1,-,1,+-0
228,,Geraldines FC,Irlande,-,1,-,1,+-0
229,,HVV Den Haag,Pays-Bas,-,13,-,9,+-0
230,,Bootle FC,Angleterre,-,1,-,1,+-0
231,,Cliftonville FC,Irlande du Nord,-,5,-,7,+-0
232,,Dresdner SC 1898,Allemagne,-,2,-,1,+-0
233,,Karlsruher FC Phönix (- 1952),Allemagne,-,4,-,1,+-0
234,,Rangers de Talca,Chili,-,1,-,0,+-0
235,,Dundee FC,Écosse,-,4,-,4,+-0
236,,DSV Concordia Delft,Pays-Bas,-,1,-,1,+-0
237,,Club Athletico Paulistano (SP),Brésil,-,2,-,0,+-0
238,,AFC Rochdale,Angleterre,-,1,-,1,+-0
239,,Olympique lillois,France,-,3,-,1,+-0
240,,Burton Albion,Angleterre,-,1,-,1,+-0
241,,CA Independiente,Argentine,-,7,-,2,+-0
242,,FK Kolomyagi St. Petersburg,Russie,-,2,-,2,+-0
243,,FC Dordrecht,Pays-Bas,-,3,-,1,+-0
244,,RS Gimnástica Española (- 1928),Espagne,-,5,-,6,+-0
245,,América Football Club (RJ),Brésil,-,3,-,3,+-0
246,,Real Fortuna FC,Espagne,-,1,-,1,+-0
247,,Club Atlético Argentino de Rosario,Argentine,-,2,-,2,+-0
248,,Club Atlético Colón,Argentine,-,1,-,0,+-0
249,,Tottenham Hotspur,Angleterre,-,4,-,4,+-0
250,,Associazione Calcio Liguria,Italie,-,1,-,1,+-0
