#,Club(s),Club(s),Compétition,Dépenses,Arrivées,Revenus,Départs,Solde
47,,Stuttgarter Kickers Formation,Allemagne,-,1,-,0,+-0
48,,HJK Helsinki,Finlande,-,4,-,4,+-0
49,,São Cristóvão de Futebol e Regatas (RJ),Brésil,-,1,-,0,+-0
50,,TuS Duisburg 48/99,Allemagne,-,1,-,0,+-0
51,,Trakia,Bulgarie,-,1,-,0,+-0
52,,1. SV Jena,Allemagne,-,1,-,1,+-0
53,,Royale Union Saint Gilloise,Belgique,-,1,-,13,+-0
54,,BSG Einheit Schwerin,Allemagne,-,1,-,0,+-0
55,,Wiener Amateur-Sportverein,Bundesliga,-,5,-,2,+-0
56,,CA Boca Juniors,Argentine,-,12,-,4,+-0
57,,Clube Regatas Flamengo,Brésil,-,6,-,1,+-0
58,,Örgryte IS,Suède,-,2,-,0,+-0
59,,Dumbarton FC,Écosse,-,2,-,0,+-0
60,,Club Athletico Paulistano (SP),Brésil,-,6,-,3,+-0
61,,US Saint-Denis-de-Pile,France,-,1,-,1,+-0
62,,Slavia Sofia,Bulgarie,-,1,-,0,+-0
63,,WVV Wageningen,Pays-Bas,-,2,-,0,+-0
64,,Hertha Mannheim,Allemagne,-,1,-,2,+-0
65,,Racing Club,Argentine,-,3,-,2,+-0
66,,TSV 1860 München Formation,Allemagne,-,1,-,0,+-0
67,,Altinordu Idman Yurdu,Turquie,-,6,-,1,+-0
68,,Defensores de Belgrano,Argentine,-,1,-,1,+-0
69,,Borussia Neunkirchen,Allemagne,-,1,-,0,+-0
70,,SC Germania Schwechat,Autriche,-,1,-,0,+-0
71,,SG Sampierdarenese,Italie,-,2,-,0,+-0
72,,FC Liverpool,Angleterre,-,1,-,5,+-0
73,,Genoa CFC,Italie,-,6,-,3,+-0
74,,Wiener Sport-Club,Bundesliga,-,3,-,1,+-0
75,,Red Star Amical Club,France,-,2,-,0,+-0
76,,Vas-és Fémmunkások SC,Hongrie,-,2,-,1,+-0
77,,DFC Dordrecht,Pays-Bas,-,1,-,3,+-0
78,,El Ahly Le Caire,Égypte,-,1,-,0,+-0
79,,FC Fribourg,Super League,-,1,-,1,+-0
80,,South China,Hong Kong,-,2,-,0,+-0
81,,SC DAC-Hochstädt,Autriche,-,1,-,0,+-0
82,,CF América,Mexique,-,1,-,0,+-0
83,,MTV München,Allemagne,-,1,-,1,+-0
84,,Servette FC,Super League,-,1,-,1,+-0
85,,Uberaba Sport Club (MG),Brésil,-,1,-,0,+-0
86,,SBG Sports Atletici Atalanta,Italie,-,1,-,0,+-0
87,,Go Ahead,Pays-Bas,-,1,-,0,+-0
88,,1. Simmeringer SC,Bundesliga,-,1,-,1,+-0
89,,Union 92 Berlin,Allemagne,-,1,-,2,+-0
90,,SpVgg Fürth,Allemagne,-,3,-,7,+-0
91,,SL Benfica,Portugal,-,2,-,0,+-0
92,,1.FC Pforzheim,Allemagne,-,5,-,3,+-0
93,,Modena FC,Italie,-,7,-,5,+-0
94,,Floridsdorfer AC,Bundesliga,-,6,-,3,+-0
95,,Düsseldorfer SC 99,Allemagne,-,1,-,0,+-0
96,,Galatasaray,Turquie,-,2,-,3,+-0
97,,Club Atlético Belgrano,Argentine,-,1,-,0,+-0
98,,CD Europa,Espagne,-,5,-,1,+-0
99,,Club Estudiantes de La Plata,Argentine,-,1,-,5,+-0
100,,Club Atlético Unión,Argentine,-,1,-,1,+-0
101,,Feyenoord U21,Pays-Bas,-,1,-,1,+-0
102,,AIK Solna,Suède,-,2,-,0,+-0
103,,Associazione Calcio Liguria,Italie,-,1,-,1,+-0
104,,SV Blau-Weiß Berlin,Allemagne,-,1,-,0,+-0
105,,Stade Bordelais,France,-,1,-,0,+-0
106,,Sportfreunde Stuttgart,Allemagne,-,1,-,0,+-0
107,,Chio Waldhof 07,Allemagne,-,3,-,0,+-0
108,,AC Udine,Italie,-,1,-,0,+-0
109,,FK Viktoria Zizkov,Tchéquie,-,2,-,0,+-0
110,,Quilmes Atlético Club,Argentine,-,1,-,2,+-0
111,,Magallanes CF,Chili,-,4,-,2,+-0
112,,FC Tartu Olümpia,Estonie,-,1,-,1,+-0
113,,RV & AV Feijenoord,Pays-Bas,-,3,-,0,+-0
114,,AC Savoia 1908,Italie,-,1,-,1,+-0
115,,IK Sleipner,Suède,-,1,-,0,+-0
116,,Helsingborgs IF,Suède,-,1,-,1,+-0
117,,CA Tiro Federal,Argentine,-,1,-,2,+-0
118,,Bohemian Sporting Club,Philippines,-,1,-,1,+-0
119,,Kispesti AC,Hongrie,-,1,-,0,+-0
120,,SV Halle 1898,Allemagne,-,1,-,1,+-0
121,,Be Quick (Gr.),Pays-Bas,-,2,-,1,+-0
122,,FBC Saronno 1910,Italie,-,1,-,0,+-0
123,,Notts County U21,Angleterre,-,1,-,0,+-0
124,,Glasgow Rangers,Écosse,-,6,-,2,+-0
125,,Preston North End,Angleterre,-,3,-,2,+-0
126,,Manchester United,Angleterre,-,1,-,1,+-0
127,,Bury FC,Angleterre,-,1,-,1,+-0
128,,Wiener AC,Bundesliga,-,5,-,7,+-0
129,,SS Olümpia Tallinn,Estonie,-,1,-,0,+-0
130,,Akademisk Boldklub,Danemark,-,4,-,2,+-0
131,,Club Ferro Carril Oeste,Argentine,-,1,-,1,+-0
132,,Koninklijke HFC Haarlem,Pays-Bas,-,1,-,1,+-0
133,,Club Atlético Platense,Argentine,-,1,-,0,+-0
134,,CA Estudiantes (Buenos Aires),Argentine,-,1,-,0,+-0
135,,MFC 02 Phönix Mannheim,Allemagne,-,1,-,1,+-0
136,,América Futebol Clube (RN),Brésil,-,1,-,1,+-0
137,,Bayern Munich,Allemagne,-,1,-,1,+-0
138,,Ängelholms FF,Suède,-,1,-,0,+-0
139,,SC Wacker 04 Berlin,Allemagne,-,1,-,0,+-0
140,,FC Arsenal,Angleterre,-,2,-,1,+-0
141,,Rapid Vienne,Bundesliga,-,8,-,8,+-0
142,,Ajax Amsterdam,Pays-Bas,-,6,-,3,+-0
143,,Club de Gimnasia y Esgrima La Plata,Argentine,-,2,-,0,+-0
144,,Alessandria FC,Italie,-,1,-,3,+-0
145,,Mackenzie College,Brésil,-,2,-,2,+-0
146,,US Milanese,Italie,-,2,-,8,+-0
147,,Botafogo de Futebol e Regatas,Brésil,-,5,-,3,+-0
148,,Be Quick '28,Pays-Bas,-,1,-,0,+-0
149,,SC Minerva 93,Allemagne,-,1,-,0,+-0
150,,CA Newell's Old Boys,Argentine,-,6,-,0,+-0
151,,Kjöbenhavns Boldklub,Danemark,-,4,-,4,+-0
152,,FC Lyon,France,-,1,-,1,+-0
153,,SV Norden-Nordwest 1898 Berlin,Allemagne,-,2,-,1,+-0
154,,FC Winterthur,Super League,-,1,-,1,+-0
155,,Casale FBC,Italie,-,1,-,4,+-0
156,,SG Andrea Doria,Italie,-,1,-,2,+-0
157,,Derby County,Angleterre,-,1,-,3,+-0
158,,Santos FC,Brésil,-,3,-,2,+-0
159,,Hungária Football Club,Hongrie,-,8,-,7,+-0
160,,FC Brentford,Angleterre,-,1,-,1,+-0
161,,Shelbourne FC,Irlande,-,3,-,1,+-0
162,,Sekka El Hadid,Égypte,-,1,-,1,+-0
163,,Universitary SC (- 1918),Espagne,-,1,-,3,+-0
164,,Djurgårdens IF,Suède,-,1,-,1,+-0
165,,CS Sabadell FC,Espagne,-,1,-,1,+-0
166,,US Torinese,Italie,-,1,-,2,+-0
167,,Real Gijón,Espagne,-,2,-,0,+-0
168,,SD Deusto,Espagne,-,1,-,0,+-0
169,,SC Fribourg,Allemagne,-,1,-,1,+-0
170,,Club Atlético Tigre,Argentine,-,1,-,2,+-0
171,,Donostia,Espagne,-,1,-,2,+-0
172,,Pankower SV Einheit Berlin,Allemagne,-,1,-,0,+-0
173,,MFC 08 Lindenhof,Allemagne,-,1,-,0,+-0
174,,FC Internazionale,Italie,-,8,-,8,+-0
175,,Ferencvárosi TC,Hongrie,-,2,-,7,+-0
176,,RCD Español,Espagne,-,11,-,10,+-0
177,,CA Independiente,Argentine,-,2,-,5,+-0
178,,Bradford Park Avenue,Angleterre,-,2,-,2,+-0
179,,CA Paris-Charenton,France,-,2,-,0,+-0
180,,Fenerbahce,Turquie,-,4,-,4,+-0
181,,First Vienna FC,Autriche,-,2,-,0,+-0
182,,Americano Futebol Clube (RJ),Brésil,-,2,-,2,+-0
183,,Grêmio Porto Alegre,Brésil,-,2,-,1,+-0
184,,FC Badalona,Espagne,-,4,-,2,+-0
185,,Clube Atlético Ypiranga (SP),Brésil,-,2,-,3,+-0
186,,AC Sparta,Tchéquie,-,1,-,0,+-0
187,,Duisburger SpV,Allemagne,-,1,-,1,+-0
188,,Tranmere Rovers,Angleterre,-,1,-,0,+-0
189,,CA San Lorenzo de Almagro,Argentine,-,2,-,0,+-0
190,,BSG Einheit Leipzig Ost,Allemagne,-,1,-,3,+-0
191,,Guts Muts Dresden,Allemagne,-,1,-,0,+-0
192,,Inconnu,,-,79,-,246,+-0
193,,Aston Villa,Angleterre,-,1,-,0,+-0
194,,Club Nacional,Uruguay,-,7,-,1,+-0
195,,Dundee United FC,Écosse,-,1,-,2,+-0
196,,Sunderland AFC Reserves,Angleterre,-,1,-,0,+-0
197,,UVV Utrecht,Pays-Bas,-,1,-,1,+-0
198,,Corinthians São Paulo,Brésil,-,3,-,5,+-0
199,,Hamilton Academical FC,Écosse,-,1,-,1,+-0
200,,Stade Français,France,-,1,-,0,+-0
201,,FC Bologna,Italie,-,2,-,0,+-0
202,,Arenas Club,Espagne,-,7,-,3,+-0
203,,Magyar Atlétikai Club,Hongrie,-,1,-,1,+-0
204,,AS Francilienne 94 le Perreux,France,-,1,-,0,+-0
205,,FC Southampton,Angleterre,-,1,-,0,+-0
206,,---,,-,1,-,0,+-0
207,,Sportfreunde Leipzig,Allemagne,-,1,-,0,+-0
208,,FBC Brescia,Italie,-,5,-,2,+-0
209,,CA River Plate,Argentine,-,4,-,2,+-0
210,,Athletic Bilbao,Espagne,-,4,-,4,+-0
211,,Norwich City,Angleterre,-,1,-,1,+-0
212,,Linfield FC,Irlande du Nord,-,4,-,1,+-0
213,,Guarany Bagé Futebol Clube,Brésil,-,1,-,1,+-0
214,,FC Espanya de Barcelona,Espagne,-,3,-,5,+-0
215,,Leicester Fosse,Angleterre,-,2,-,1,+-0
216,,BFC Viktoria 89,Allemagne,-,1,-,1,+-0
217,,AC Libertas Milano,Italie,-,1,-,0,+-0
218,,Tarrasa FC,Espagne,-,1,-,2,+-0
219,,FC Bayern München Formation,Allemagne,-,1,-,0,+-0
220,,Vladislav Varna,Bulgarie,-,1,-,0,+-0
221,,Ajax Amsterdam U21,Pays-Bas,-,1,-,0,+-0
222,,Schwarz-Weiß Essen,Allemagne,-,1,-,1,+-0
223,,SK Zidenice,Tchéquie,-,1,-,0,+-0
224,,De Spartaan Amsterdam,Pays-Bas,-,1,-,0,+-0
225,,Hertha BSC,Allemagne,-,1,-,2,+-0
226,,FC Hellas Verona,Italie,-,1,-,2,+-0
227,,Újpesti TE,Hongrie,-,3,-,0,+-0
228,,Ayr United FC,Écosse,-,1,-,2,+-0
229,,GAIS Göteborg,Suède,-,7,-,1,+-0
230,,FK Kolomyagi St. Petersburg,Russie,-,4,-,1,+-0
231,,Athletic de Madrid,Espagne,-,1,-,2,+-0
232,,CA Huracán,Argentine,-,3,-,0,+-0
233,,Club Rosario Puerto Belgrano,Argentine,-,1,-,1,+-0
234,,La Cruz Football Club (-1987),Chili,-,2,-,0,+-0
235,,Bangu Atlético Clube (RJ),Brésil,-,2,-,0,+-0
236,,Råsunda IS,Suède,-,1,-,1,+-0
237,,Dresdner SC 1898,Allemagne,-,1,-,0,+-0
238,,Club Sportivo Barracas Bolívar,Argentine,-,1,-,0,+-0
239,,Crystal Palace,Angleterre,-,1,-,0,+-0
240,,Stuttgarter SC,Allemagne,-,1,-,0,+-0
241,,Liverpool FC Montevideo,Uruguay,-,1,-,0,+-0
242,,VfR Köln 04,Allemagne,-,1,-,0,+-0
243,,Stuttgarter Kickers,Allemagne,-,2,-,2,+-0
244,,Birmingham City,Angleterre,-,1,-,1,+-0
245,,CA Peñarol,Uruguay,-,4,-,0,+-0
246,,CA Rosario Central,Argentine,-,6,-,4,+-0
247,,América Football Club (RJ),Brésil,-,6,-,1,+-0
248,,USV Hercules,Pays-Bas,-,1,-,0,+-0
249,,Levski Sofia,Bulgarie,-,1,-,0,+-0
250,,Santiago Wanderers,Chili,-,1,-,5,+-0
