#,Club(s),Club(s),Compétition,Dépenses,Arrivées,Revenus,Départs,Solde
71,,Torpedo Kutaisi,Géorgie,-,2,-,1,+-0
72,,SK Zidenice,Tchéquie,-,1,-,5,+-0
73,,AS Fanfulla,Italie,-,28,-,35,+-0
74,,Milicionar Belgrad,Serbie,-,1,-,0,+-0
75,,Grêmio Porto Alegre,Brésil,-,2,-,2,+-0
76,,Third Lanark (- 1967),Écosse,-,2,-,2,+-0
77,,Flacara Ploiesti,Roumanie,-,1,-,1,+-0
78,,Gravesend & Northfleet FC,Angleterre,-,1,-,0,+-0
79,,Rus Uzhgorod,Ukraine,-,3,-,0,+-0
80,,AC Sparta,Tchéquie,-,5,-,6,+-0
81,,Trecate Calcio,Italie,-,1,-,1,+-0
82,,Cukurova Idmanyurdu,Turquie,-,1,-,0,+-0
83,,UC Sampdoria,Italie,-,1,-,0,+-0
84,,Sparta Bucharest,Roumanie,-,4,-,1,+-0
85,,Folgore Caratese,Italie,-,3,-,4,+-0
86,,1.FSV Mainz 05,Allemagne,-,1,-,0,+-0
87,,Hapoel Petah Tikva,Israël,-,2,-,0,+-0
88,,AS Bisceglie 1913,Italie,-,2,-,2,+-0
89,,Club Atlético Atlanta,Superliga,-,8,-,7,+-0
90,,Standard de Liège,Belgique,-,3,-,4,+-0
91,,AS Gubbio 1910,Italie,-,1,-,3,+-0
92,,AS Oostende KM,Belgique,-,1,-,0,+-0
93,,Borgo Panigale FC,Italie,-,2,-,0,+-0
94,,Preußen Münster,Allemagne,-,1,-,0,+-0
95,,SL Benfica,Liga Portugal,-,7,-,4,+-0
96,,Clube Atlético Paranaense,Brésil,-,1,-,0,+-0
97,,Boldklubben af 1893,Danemark,-,4,-,7,+-0
98,,Malmö FF,Suède,-,8,-,1,+-0
99,,SS Straßburg,Allemagne,-,1,-,1,+-0
100,,Coventry City,Angleterre,-,2,-,2,+-0
101,,TuS Neuendorf,Allemagne,-,9,-,6,+-0
102,,1.FC Pforzheim,Allemagne,-,1,-,2,+-0
103,,Dynamo Moscou II,Russie,-,20,-,20,+-0
104,,CA River Plate,Superliga,-,22,-,23,+-0
105,,Stade Français,France,-,3,-,1,+-0
106,,Club Alianza Lima,Pérou,-,5,-,7,+-0
107,,Norwich City,Angleterre,-,3,-,2,+-0
108,,RFC Seraing (- 1996),Belgique,-,1,-,1,+-0
109,,Bismarckhütter SV 99,Allemagne,-,1,-,1,+-0
110,,AC Perugia,Italie,-,10,-,11,+-0
111,,Budrio Calcio,Italie,-,1,-,1,+-0
112,,Zenit Taganrog,Russie,-,5,-,3,+-0
113,,AS Taranto,Italie,-,7,-,22,+-0
114,,SG Ordnungspolizei Warschau (aufgel.),Allemagne,-,1,-,1,+-0
115,,UD Levante,Espagne,-,20,-,21,+-0
116,,Dinamo Minsk,Vyschaya Liga (- 1991),-,47,-,31,+-0
117,,CD Badajoz 1905,Espagne,-,1,-,0,+-0
118,,UD San Martín,Espagne,-,1,-,2,+-0
119,,Bonsucesso Futebol Clube (RJ),Brésil,-,2,-,5,+-0
120,,Brooklyn Wanderers,États-Unis,-,1,-,1,+-0
121,,Bond Berru,Indonésie,-,1,-,1,+-0
122,,KSG VfL Köln/SpVgg Sülz,Allemagne,-,1,-,1,+-0
123,,ZSG Union Halle,Allemagne,-,1,-,1,+-0
124,,Montevideo Wanderers,Uruguay,-,3,-,4,+-0
125,,CA Rosario Central,Superliga,-,8,-,5,+-0
126,,Worcester City,Angleterre,-,2,-,1,+-0
127,,Arago sport orléanais,France,-,1,-,0,+-0
128,,Cork City FC (- 2009),Irlande,-,1,-,1,+-0
129,,Magallanes CF,Chili,-,6,-,7,+-0
130,,Olympiakós Le Pirée,Grèce,-,4,-,3,+-0
131,,CD Mestalla,Espagne,-,1,-,2,+-0
132,,JK Dünamo Tallinn,Estonie,-,2,-,1,+-0
133,,Bradford City,Angleterre,-,3,-,2,+-0
134,,AC Genova 1893,Italie,-,43,-,52,+-0
135,,SV Wilhelmshaven,Allemagne,-,1,-,4,+-0
136,,SG Blau-Weiß Dessau,Allemagne,-,3,-,5,+-0
137,,Ciclista Lima,Pérou,-,1,-,0,+-0
138,,US Città di Pontedera,Italie,-,10,-,16,+-0
139,,ÉF Montpellier-Languedoc,France,-,2,-,2,+-0
140,,HNK Hajduk Split,Croatie,-,3,-,4,+-0
141,,Club de Deportes Green Cross,Chili,-,4,-,3,+-0
142,,AC Pisa 1909,Italie,-,21,-,32,+-0
143,,DO Novosibirsk,Russie,-,4,-,1,+-0
144,,MSV Brünn,Allemagne,-,3,-,3,+-0
145,,AFC Sunderland,Angleterre,-,3,-,2,+-0
146,,SK Sport Tallinn (- 2008),Estonie,-,2,-,5,+-0
147,,Association sportive aixoise,France,-,1,-,1,+-0
148,,SD Indauchu,Espagne,-,1,-,1,+-0
149,,Avangard Kramatorsk,Ukraine,-,4,-,4,+-0
150,,Juventus Turin,Italie,-,40,-,47,+-0
151,,C.A. Paris,France,-,1,-,1,+-0
152,,Altonaer FC 93 Borussia,Allemagne,-,2,-,1,+-0
153,,US Valenciennes-Anzin,France,-,1,-,0,+-0
154,,1.FC Schweinfurt 05,Allemagne,-,1,-,2,+-0
155,,Casteggio 1898,Italie,-,1,-,0,+-0
156,,Racing Club de Montevideo,Uruguay,-,1,-,1,+-0
157,,Peterborough United,Angleterre,-,1,-,2,+-0
158,,RRC Tienen,Belgique,-,1,-,1,+-0
159,,UD Orensana,Espagne,-,1,-,0,+-0
160,,RFC Tilleur,Belgique,-,4,-,1,+-0
161,,HSV ADO,Pays-Bas,-,6,-,4,+-0
162,,AC Brescia,Italie,-,41,-,57,+-0
163,,SD Deusto,Espagne,-,1,-,1,+-0
164,,SZEOL SC,Hongrie,-,1,-,1,+-0
165,,Olympia Bucharest (- 1946),Roumanie,-,2,-,2,+-0
166,,Giulianova Calcio,Italie,-,2,-,3,+-0
167,,Club Sportivo Belgrano (San Francisco),Argentine,-,1,-,1,+-0
168,,AC Pieris,Italie,-,1,-,3,+-0
169,,ACD Asti Calcio,Italie,-,15,-,19,+-0
170,,Vigevano Calcio,Italie,-,22,-,30,+-0
171,,RFC Mechelen,Belgique,-,2,-,3,+-0
172,,Rapallo Ruentes Rivarolese,Italie,-,7,-,12,+-0
173,,Akademisk Boldklub,Danemark,-,5,-,3,+-0
174,,Unione Polisportiva Foggia,Italie,-,1,-,3,+-0
175,,Raith Rovers FC,Écosse,-,1,-,1,+-0
176,,Manchester United,Angleterre,-,8,580 €,3,1 K €
177,,Dinamo Omsk,Russie,-,1,-,1,+-0
178,,Chamois Niortais FC,France,-,2,-,1,+-0
179,,Valur Reykjavík,Islande,-,1,-,1,+-0
180,,GD Estoril Praia,Liga Portugal,-,2,-,1,+-0
181,,Maccabi Tel Aviv,Israël,-,4,-,3,+-0
182,,SC Austro Fiat Wien (- 1940),Autriche,-,2,-,7,+-0
183,,SV Bleijerheide,Pays-Bas,-,1,-,0,+-0
184,,Torre Alex,Italie,-,1,-,0,+-0
185,,Olympique lillois,France,-,1,-,8,+-0
186,,Elche CF,Espagne,-,10,-,10,+-0
187,,Dinamo Ivanovo,Russie,-,7,-,3,+-0
188,,RKSV Groene Ster,Pays-Bas,-,1,-,0,+-0
189,,SC Hochstädt Wien,Autriche,-,2,-,0,+-0
190,,Spalding United,Angleterre,-,1,-,0,+-0
191,,FC Barreirense,Portugal,-,1,-,2,+-0
192,,Club Atlético Unión,Argentine,-,1,-,1,+-0
193,,Krylya Sovetov Moskau,Vyschaya Liga (- 1991),-,58,-,55,+-0
194,,FC Blue Stars Zürich,Suisse,-,1,-,2,+-0
195,,Bohemian Football Club,Irlande,-,1,-,4,+-0
196,,FC Locomotive Tbilisi,Géorgie,-,19,-,41,+-0
197,,CD Mataró,Espagne,-,3,-,3,+-0
198,,Marek Dupnitsa,Bulgarie,-,1,-,0,+-0
199,,Galatasaray,Turquie,-,8,-,9,+-0
200,,FK Raven Považská Bystrica,Slovaquie,-,1,-,0,+-0
201,,---,,-,4,-,0,+-0
202,,NSTG Graslitz,Allemagne,-,1,-,2,+-0
203,,Pause en carrière,,-,226,-,435,+-0
204,,FV 1910 Horas,Allemagne,-,1,-,0,+-0
205,,West Bromwich Albion,Angleterre,-,5,2 K €,2,2 K €
206,,Stalinets Moskau (-1991),URSS,-,5,-,26,+-0
207,,AS Roma,Italie,-,33,-,51,+-0
208,,ASD OltrepòVoghera,Italie,-,1,-,1,+-0
209,,Post Admira Linz,Autriche,-,1,-,1,+-0
210,,ÖSPAG Wilhelmsburg,Autriche,-,1,-,1,+-0
211,,AC Spezia,Italie,-,36,-,35,+-0
212,,ASD Norba Conversano,Italie,-,1,-,0,+-0
213,,ASD Virtus Ortona Calcio 2008,Italie,-,1,-,1,+-0
214,,Tram Alexandria,Égypte,-,2,-,2,+-0
215,,Savona FBC,Italie,-,43,-,59,+-0
216,,ÉF Nancy-Lorraine,France,-,1,-,1,+-0
217,,SS Benacense 1905 Riva,Italie,-,1,-,1,+-0
218,,Audax Italiano,Chili,-,8,-,7,+-0
219,,AC Mestre,Italie,-,9,-,14,+-0
220,,Esporte Clube Cruzeiro (RS),Brésil,-,1,-,1,+-0
221,,Bradford Park Avenue,Angleterre,-,2,-,0,+-0
222,,Dinamo Kazan (-1950),Russie,-,3,-,12,+-0
223,,Seregno FootBall Club,Italie,-,8,-,17,+-0
224,,Mülheimer SV 06,Allemagne,-,1,-,0,+-0
225,,Profsoyuzy-1 Moskau (-1942),URSS,-,24,-,24,+-0
226,,KhPZ Kharkiv,Ukraine,-,5,-,4,+-0
227,,Derby County,Angleterre,-,4,-,5,+-0
228,,FC Everton,Angleterre,-,2,5 K €,3,5 K €
229,,Universitario de Deportes,Pérou,-,6,-,11,+-0
230,,Torquay United,Angleterre,-,1,-,1,+-0
231,,Associazione Calcio Thiene,Italie,-,1,-,1,+-0
232,,Chemnitzer BC,Allemagne,-,1,-,1,+-0
233,,Club Cerro Porteño,Paraguay,-,2,-,0,+-0
234,,Olympique d'Antibes Juan-les-Pins,France,-,2,-,3,+-0
235,,Racing Club Paris,France,-,11,-,13,+-0
236,,SV Feuerwehr,Autriche,-,1,-,0,+-0
237,,SC Hassel,Allemagne,-,1,-,1,+-0
238,,Guecho,Espagne,-,1,-,1,+-0
239,,Clube Regatas Flamengo,Brésil,-,19,-,11,+-0
240,,Dinamo Voronezh ( - 2010),Russie,-,1,-,0,+-0
241,,Carmen Bukarest,Roumanie,-,2,-,2,+-0
242,,FC Sète 34,France,-,7,-,12,+-0
243,,AC Cantù GS San Paolo,Italie,-,5,-,6,+-0
244,,Crewe Alexandra,Angleterre,-,1,-,0,+-0
245,,AC Bassanese,Italie,-,4,-,3,+-0
246,,Leeds United,Angleterre,-,1,-,4,+-0
247,,Monza Foot Ball Club,Italie,-,5,-,12,+-0
248,,SC Husen-Kurl,Allemagne,-,1,-,0,+-0
249,,SSD Spoleto Calcio,Italie,-,2,-,0,+-0
250,,VfL Benrath,Allemagne,-,2,-,1,+-0
