#,Club(s),Club(s),Compétition,Dépenses,Arrivées,Revenus,Départs,Solde
105,,FK Krasnodar,Premier Liga,"81,90 mio. €",73,"51,60 mio. €",70,"-30,30 mio. €"
106,,CA Boca Juniors,Copa de la Liga,"80,58 mio. €",113,"151,31 mio. €",118,"70,73 mio. €"
107,,Standard de Liège,Jupiler Pro League,"79,30 mio. €",147,"96,70 mio. €",150,"17,40 mio. €"
108,,Red Bull Salzbourg,Bundesliga,"79,09 mio. €",123,"283,00 mio. €",122,"203,91 mio. €"
109,,CA River Plate,Copa de la Liga,"78,49 mio. €",85,"134,10 mio. €",91,"55,61 mio. €"
110,,Al-Ahli Saudi FC,Saudi Pro League,"78,02 mio. €",104,"14,79 mio. €",109,"-63,23 mio. €"
111,,Hull City,Championship,"77,39 mio. €",100,"131,47 mio. €",107,"54,09 mio. €"
112,,SC Fribourg,Bundesliga,"77,26 mio. €",87,"89,48 mio. €",86,"12,22 mio. €"
113,,Al-Nassr FC,Saudi Pro League,"75,73 mio. €",89,"4,65 mio. €",88,"-71,08 mio. €"
114,,Cardiff City,Championship,"75,19 mio. €",125,"35,33 mio. €",130,"-39,86 mio. €"
115,,AS Saint-Étienne,Ligue 1,"75,05 mio. €",94,"105,50 mio. €",88,"30,45 mio. €"
116,,Athletic Bilbao,LaLiga,"74,90 mio. €",59,"145,00 mio. €",60,"70,10 mio. €"
117,,KAA La Gantoise,Jupiler Pro League,"74,47 mio. €",142,"94,45 mio. €",144,"19,98 mio. €"
118,,Bristol City,Championship,"72,85 mio. €",137,"96,01 mio. €",122,"23,16 mio. €"
119,,Shenzhen FC,Super League,"72,73 mio. €",80,"2,30 mio. €",80,"-70,44 mio. €"
120,,CF América,Liga MX Clausura,"72,71 mio. €",99,"68,65 mio. €",102,"-4,06 mio. €"
121,,Al-Ittihad Club (Jeddah),Saudi Pro League,"72,60 mio. €",100,"1,15 mio. €",105,"-71,45 mio. €"
122,,Shandong Luneng Taishan,Super League,"72,52 mio. €",60,"35,99 mio. €",59,"-36,52 mio. €"
123,,Celtic Glasgow,Premiership,"72,00 mio. €",121,"82,69 mio. €",122,"10,69 mio. €"
124,,Besiktas JK,Süper Lig,"68,59 mio. €",104,"95,96 mio. €",104,"27,37 mio. €"
125,,FC Brentford,Championship,"68,06 mio. €",86,"124,28 mio. €",90,"56,22 mio. €"
126,,FC São Paulo,Série A,"65,56 mio. €",168,"170,86 mio. €",177,"105,30 mio. €"
127,,Hannover 96,2. Bundesliga,"63,77 mio. €",94,"65,29 mio. €",94,"1,52 mio. €"
128,,Rubin Kazan,Premier Liga,"63,31 mio. €",125,"55,90 mio. €",121,"-7,41 mio. €"
129,,FC Getafe,LaLiga,"63,27 mio. €",109,"24,95 mio. €",105,"-38,32 mio. €"
130,,UD Levante,LaLiga,"61,00 mio. €",94,"74,92 mio. €",95,"13,92 mio. €"
131,,Tianjin Teda,Super League,"58,86 mio. €",71,"7,63 mio. €",71,"-51,23 mio. €"
132,,Al-Hilal Saudi FC,Saudi Pro League,"58,11 mio. €",83,"17,26 mio. €",95,"-40,85 mio. €"
133,,SPAL,Serie A,"57,04 mio. €",149,"42,25 mio. €",144,"-14,79 mio. €"
134,,FC Nantes,Ligue 1,"56,40 mio. €",79,"79,90 mio. €",75,"23,50 mio. €"
135,,Al-Duhail SC,Stars League,"56,38 mio. €",83,"12,00 mio. €",83,"-44,38 mio. €"
136,,Leeds United,Championship,"55,67 mio. €",126,"68,29 mio. €",128,"12,62 mio. €"
137,,Pyramids FC,Premier League,"55,39 mio. €",107,"12,83 mio. €",112,"-42,56 mio. €"
138,,Feyenoord Rotterdam,Eredivisie,"54,10 mio. €",78,"86,05 mio. €",77,"31,95 mio. €"
139,,FC Copenhague,Superligaen Championship round,"53,44 mio. €",67,"80,45 mio. €",69,"27,01 mio. €"
140,,Racing Club,Copa de la Liga,"53,15 mio. €",123,"91,52 mio. €",121,"38,37 mio. €"
141,,Lokomotiv Moscou,Premier Liga,"52,65 mio. €",58,"24,30 mio. €",56,"-28,35 mio. €"
142,,Toulouse FC,Ligue 1,"51,85 mio. €",81,"86,15 mio. €",80,"34,30 mio. €"
143,,Trabzonspor,Süper Lig,"51,45 mio. €",177,"59,49 mio. €",174,"8,04 mio. €"
144,,FC Bâle 1893,Super League,"51,29 mio. €",97,"142,66 mio. €",96,"91,37 mio. €"
145,,Empoli FC,Serie B,"51,06 mio. €",205,"115,20 mio. €",201,"64,14 mio. €"
146,,Parma Calcio 1913,Serie A,"49,96 mio. €",290,"19,51 mio. €",310,"-30,46 mio. €"
147,,Corinthians São Paulo,Série A,"49,90 mio. €",199,"102,62 mio. €",213,"52,72 mio. €"
148,,Dynamo Moscou,Premier Liga,"49,84 mio. €",80,"19,82 mio. €",75,"-30,02 mio. €"
149,,Shakhtar Donetsk,Premier Liga,"49,40 mio. €",103,"177,70 mio. €",97,"128,30 mio. €"
150,,Atlanta United FC,MLS,"49,26 mio. €",130,"30,13 mio. €",104,"-19,13 mio. €"
151,,Juventus U23,Serie C - A,"49,25 mio. €",96,"17,93 mio. €",74,"-31,32 mio. €"
152,,Dynamo Kyiv,Premier Liga,"48,40 mio. €",97,"101,02 mio. €",94,"52,62 mio. €"
153,,SD Eibar,LaLiga,"47,85 mio. €",105,"49,75 mio. €",105,"1,90 mio. €"
154,,Clube Atlético Mineiro,Série A,"47,50 mio. €",166,"75,39 mio. €",171,"27,90 mio. €"
155,,FC Reading,Championship,"47,39 mio. €",134,"23,47 mio. €",138,"-23,92 mio. €"
156,,CD Leganés,LaLiga,"47,35 mio. €",123,"66,05 mio. €",124,"18,70 mio. €"
157,,Guangzhou R&F,Super League,"47,32 mio. €",95,"46,07 mio. €",98,"-1,25 mio. €"
158,,Nottingham Forest,Championship,"47,14 mio. €",147,"72,46 mio. €",151,"25,31 mio. €"
159,,CA Independiente,Copa de la Liga,"46,70 mio. €",94,"59,67 mio. €",100,"12,97 mio. €"
160,,Montpellier Hérault SC,Ligue 1,"45,28 mio. €",67,"109,70 mio. €",66,"64,43 mio. €"
161,,Changchun Yatai,CL1 Promotion Stage,"44,49 mio. €",76,"18,05 mio. €",81,"-26,43 mio. €"
162,,Benevento Calcio,Serie B,"43,63 mio. €",155,"13,08 mio. €",149,"-30,55 mio. €"
163,,Birmingham City,Championship,"43,56 mio. €",133,"33,80 mio. €",137,"-9,76 mio. €"
164,,PAOK Thessaloniki,Super League 1,"43,02 mio. €",213,"34,85 mio. €",216,"-8,17 mio. €"
165,,Sheffield Wednesday,Championship,"42,65 mio. €",86,"8,46 mio. €",87,"-34,19 mio. €"
166,,Deportivo Alavés,LaLiga,"40,49 mio. €",109,"39,00 mio. €",107,"-1,49 mio. €"
167,,Delfino Pescara 1936,Serie B,"40,34 mio. €",283,"72,64 mio. €",283,"32,30 mio. €"
168,,CSKA Moscou,Premier Liga,"39,70 mio. €",65,"68,42 mio. €",62,"28,72 mio. €"
169,,Hellas Verona,Serie A,"38,14 mio. €",227,"72,17 mio. €",228,"34,03 mio. €"
170,,AC Chievo Verona,Serie B,"37,67 mio. €",296,"79,97 mio. €",290,"42,30 mio. €"
171,,Juventus Primavera,Primavera 1,"36,91 mio. €",231,"9,28 mio. €",233,"-27,63 mio. €"
172,,Stade de Reims,Ligue 1,"36,60 mio. €",76,"51,50 mio. €",75,"14,90 mio. €"
173,,SK Slavia Prague,Fortuna Liga Meisterrunde,"36,55 mio. €",136,"39,23 mio. €",139,"2,69 mio. €"
174,,Glasgow Rangers,Premiership,"36,30 mio. €",133,"7,88 mio. €",132,"-28,42 mio. €"
175,,Club Tijuana,Liga MX Clausura,"36,15 mio. €",158,"31,71 mio. €",160,"-4,44 mio. €"
176,,Henan Jianye,Super League,"36,12 mio. €",78,"23,92 mio. €",81,"-12,20 mio. €"
177,,Deportivo de La Coruña,LaLiga2,"34,78 mio. €",117,"55,60 mio. €",118,"20,83 mio. €"
178,,Santos FC,Série A,"33,89 mio. €",140,"121,97 mio. €",152,"88,08 mio. €"
179,,Málaga CF,LaLiga2,"33,54 mio. €",116,"111,29 mio. €",120,"77,76 mio. €"
180,,El Ahly Le Caire,Premier League,"33,38 mio. €",89,"26,72 mio. €",81,"-6,66 mio. €"
181,,Santos Laguna,Liga MX Clausura,"33,06 mio. €",96,"40,34 mio. €",98,"7,29 mio. €"
182,,RC Strasbourg Alsace,Ligue 1,"32,65 mio. €",63,"37,50 mio. €",62,"4,85 mio. €"
183,,Angers SCO,Ligue 1,"32,45 mio. €",99,"91,30 mio. €",99,"58,85 mio. €"
184,,Amiens SC,Ligue 1,"32,27 mio. €",98,"23,44 mio. €",97,"-8,83 mio. €"
185,,Los Angeles FC,MLS,"32,26 mio. €",88,"2,55 mio. €",64,"-29,72 mio. €"
186,,AC Sparta Prague,Fortuna Liga Meisterrunde,"31,90 mio. €",136,"50,33 mio. €",136,"18,44 mio. €"
187,,UD Almería,LaLiga2,"31,84 mio. €",114,"13,65 mio. €",110,"-18,19 mio. €"
188,,Al-Ahli Dubai Club (- 2017),Émirats Arabes Unis,"31,70 mio. €",15,"16,50 mio. €",59,"-15,20 mio. €"
189,,Queens Park Rangers,Championship,"31,04 mio. €",125,"41,08 mio. €",139,"10,04 mio. €"
190,,GNK Dinamo Zagreb,SuperSport HNL,"31,00 mio. €",126,"156,42 mio. €",125,"125,42 mio. €"
191,,SC Braga,Liga Portugal,"30,72 mio. €",144,"147,78 mio. €",141,"117,05 mio. €"
192,,SM Caen,Ligue 2,"30,45 mio. €",99,"60,20 mio. €",95,"29,75 mio. €"
193,,BSC Young Boys,Super League,"30,15 mio. €",77,"68,35 mio. €",73,"38,20 mio. €"
194,,CF Pachuca,Liga MX Clausura,"29,73 mio. €",169,"53,84 mio. €",167,"24,12 mio. €"
195,,FC Lorient,Ligue 2,"29,58 mio. €",99,"94,47 mio. €",101,"64,90 mio. €"
196,,Chongqing Dangdai Lifan,Super League,"29,11 mio. €",66,"14,02 mio. €",65,"-15,08 mio. €"
197,,CA San Lorenzo de Almagro,Copa de la Liga,"28,81 mio. €",114,"50,15 mio. €",113,"21,34 mio. €"
198,,Cruzeiro Esporte Clube,Série B,"28,59 mio. €",193,"48,41 mio. €",215,"19,82 mio. €"
199,,Brescia Calcio,Serie A,"28,50 mio. €",149,"10,98 mio. €",152,"-17,52 mio. €"
200,,Dijon FCO,Ligue 1,"28,32 mio. €",73,"44,95 mio. €",74,"16,64 mio. €"
201,,AZ Alkmaar,Eredivisie,"28,05 mio. €",74,"108,63 mio. €",71,"80,58 mio. €"
202,,Basaksehir FK,Süper Lig,"27,76 mio. €",96,"24,52 mio. €",96,"-3,24 mio. €"
203,,Portland Timbers,MLS,"27,71 mio. €",113,"2,89 mio. €",109,"-24,82 mio. €"
204,,FC Metz,Ligue 1,"27,45 mio. €",118,"44,70 mio. €",121,"17,25 mio. €"
205,,FC Granada,LaLiga,"27,44 mio. €",148,"53,38 mio. €",150,"25,94 mio. €"
206,,SSD Palermo,Serie D - I,"27,41 mio. €",178,"113,95 mio. €",178,"86,54 mio. €"
207,,Inter Miami CF,MLS,"27,41 mio. €",34,-,5,"-27,41 mio. €"
208,,Al-Ain FC,UAE Pro League,"27,14 mio. €",57,"15,35 mio. €",69,"-11,79 mio. €"
209,,Wuhan Zall,Super League,"26,81 mio. €",62,"2,28 mio. €",61,"-24,53 mio. €"
210,,FC Ingolstadt 04,3. Liga,"26,71 mio. €",73,"37,35 mio. €",74,"10,64 mio. €"
211,,Etoile Rouge de Belgrade,Super liga Srbije,"25,95 mio. €",173,"66,70 mio. €",178,"40,75 mio. €"
212,,Los Angeles Galaxy,MLS,"25,68 mio. €",109,"5,65 mio. €",101,"-20,03 mio. €"
213,,FC Midtjylland,Superligaen Championship round,"25,27 mio. €",130,"62,48 mio. €",131,"37,21 mio. €"
214,,UNAM Pumas,Liga MX Clausura,"25,20 mio. €",85,"26,50 mio. €",91,"1,30 mio. €"
215,,Inter Primavera,Primavera 1,"25,17 mio. €",173,"5,65 mio. €",172,"-19,52 mio. €"
216,,Girona FC,LaLiga2,"24,75 mio. €",103,"29,00 mio. €",98,"4,25 mio. €"
217,,FCSB,SuperLiga,"24,58 mio. €",145,"29,04 mio. €",141,"4,47 mio. €"
218,,Al-Jazira (Abu Dhabi),UAE Pro League,"23,45 mio. €",53,"35,90 mio. €",70,"12,45 mio. €"
219,,SC Internacional Porto Alegre,Série A,"23,17 mio. €",225,"66,19 mio. €",241,"43,02 mio. €"
220,,CA Osasuna,LaLiga,"22,40 mio. €",83,"20,25 mio. €",78,"-2,15 mio. €"
221,,FC Barcelona B,2ª B - Grupo III,"22,36 mio. €",121,"30,10 mio. €",126,"7,74 mio. €"
222,,Club Necaxa,Liga MX Clausura,"22,21 mio. €",119,"54,30 mio. €",119,"32,09 mio. €"
223,,CA Rosario Central,Copa de la Liga,"22,13 mio. €",102,"42,76 mio. €",101,"20,63 mio. €"
224,,Fortuna Düsseldorf,Bundesliga,"21,78 mio. €",92,"19,81 mio. €",82,"-1,97 mio. €"
225,,Fluminense Football Club,Série A,"21,13 mio. €",223,"98,30 mio. €",232,"77,17 mio. €"
226,,FK Rostov,Premier Liga,"21,09 mio. €",106,"31,85 mio. €",110,"10,76 mio. €"
227,,Zamalek SC,Premier League,"21,05 mio. €",122,"16,05 mio. €",113,"-5,00 mio. €"
228,,Rayo Vallecano,LaLiga2,"20,70 mio. €",102,"40,00 mio. €",101,"19,30 mio. €"
229,,Grêmio Porto Alegre,Série A,"20,67 mio. €",158,"106,74 mio. €",163,"86,07 mio. €"
230,,Wigan Athletic,Championship,"20,59 mio. €",166,"22,34 mio. €",163,"1,75 mio. €"
231,,Al-Wehda FC,Saudi Pro League,"20,13 mio. €",109,"4,56 mio. €",107,"-15,58 mio. €"
232,,Red Bull Bragantino,Série A,"20,12 mio. €",224,588 K €,253,"-19,53 mio. €"
233,,Guizhou Hengfeng,CL1 Relegation Stage,"19,77 mio. €",67,"7,80 mio. €",73,"-11,97 mio. €"
234,,1.FC Union Berlin,Bundesliga,"19,50 mio. €",77,"12,75 mio. €",67,"-6,75 mio. €"
235,,Sharjah FC,UAE Pro League,"19,45 mio. €",61,-,69,"-19,45 mio. €"
236,,Rapid Vienne,Bundesliga,"19,24 mio. €",82,"42,92 mio. €",76,"23,68 mio. €"
237,,Ludogorets Razgrad,efbet Liga,"18,92 mio. €",58,"25,20 mio. €",56,"6,29 mio. €"
238,,Blackburn Rovers,Championship,"18,62 mio. €",94,"42,74 mio. €",97,"24,13 mio. €"
239,,SL Benfica B,Liga Sabseg,"17,90 mio. €",181,"4,77 mio. €",179,"-13,13 mio. €"
240,,Club Deportivo Maldonado,Primera División Clausura,"17,75 mio. €",145,"19,90 mio. €",148,"2,15 mio. €"
241,,Bröndby IF,Superligaen Championship round,"15,08 mio. €",88,"19,64 mio. €",88,"4,56 mio. €"
242,,Deportivo Toluca,Liga MX Clausura,"15,04 mio. €",113,"12,23 mio. €",115,"-2,81 mio. €"
243,,Atlas Guadalajara,Liga MX Clausura,"13,99 mio. €",161,"23,91 mio. €",159,"9,92 mio. €"
244,,Club León FC,Liga MX Clausura,"13,87 mio. €",104,"20,20 mio. €",105,"6,33 mio. €"
245,,Club Universidad de Chile,Primera División,"12,69 mio. €",143,"10,30 mio. €",144,"-2,38 mio. €"
246,,Olimpia Asunción,Primera División Clausura,"12,66 mio. €",154,"19,21 mio. €",157,"6,56 mio. €"
247,,Atlético Nacional,Liga Dimayor I,"11,55 mio. €",158,"58,50 mio. €",165,"46,96 mio. €"
248,,Monarcas Morelia,Liga MX Clausura,"11,45 mio. €",118,"20,68 mio. €",122,"9,23 mio. €"
249,,Junior FC,Liga Dimayor I,"10,49 mio. €",98,"21,82 mio. €",99,"11,34 mio. €"
250,,CA Peñarol,Primera División Clausura,"5,50 mio. €",169,"52,93 mio. €",162,"47,43 mio. €"
