#,Club(s),Club(s),Compétition,Dépenses,Arrivées,Revenus,Départs,Solde
31,,Stade Rennais FC,Ligue 1,"84,78 mio. €",83,"50,66 mio. €",81,"-34,12 mio. €"
32,,FC Everton,Premier League,"80,64 mio. €",72,"94,23 mio. €",80,"13,58 mio. €"
33,,AFC Sunderland,Championship,"77,74 mio. €",106,"42,24 mio. €",113,"-35,51 mio. €"
34,,ACF Fiorentina,Serie A,"77,09 mio. €",107,"121,25 mio. €",115,"44,16 mio. €"
35,,Aston Villa,Premier League,"74,81 mio. €",87,"48,31 mio. €",91,"-26,51 mio. €"
36,,Bayer 04 Leverkusen,Bundesliga,"73,60 mio. €",70,"65,50 mio. €",75,"-8,10 mio. €"
37,,Villarreal CF,LaLiga,"66,17 mio. €",56,"17,01 mio. €",58,"-49,16 mio. €"
38,,PSV Eindhoven,Eredivisie,"65,87 mio. €",80,"63,54 mio. €",80,"-2,33 mio. €"
39,,Galatasaray,Süper Lig,"62,37 mio. €",97,"44,24 mio. €",100,"-18,13 mio. €"
40,,Fenerbahce,Süper Lig,"62,01 mio. €",78,"13,41 mio. €",78,"-48,60 mio. €"
41,,Shakhtar Donetsk,Premier Liga,"59,36 mio. €",53,"4,00 mio. €",47,"-55,36 mio. €"
42,,Celta Vigo,LaLiga2,"56,12 mio. €",68,"63,67 mio. €",66,"7,55 mio. €"
43,,Charlton Athletic,Premier League,"55,80 mio. €",77,"21,51 mio. €",81,"-34,29 mio. €"
44,,Birmingham City,Premier League,"55,32 mio. €",99,"15,81 mio. €",96,"-39,51 mio. €"
45,,SL Benfica,Liga Portugal,"54,81 mio. €",116,"59,26 mio. €",119,"4,45 mio. €"
46,,FC Southampton,Premier League,"53,00 mio. €",95,"36,97 mio. €",97,"-16,03 mio. €"
47,,Real Betis Balompié,LaLiga,"51,92 mio. €",52,"25,15 mio. €",54,"-26,77 mio. €"
48,,FC Girondins de Bordeaux,Ligue 1,"51,90 mio. €",71,"73,68 mio. €",79,"21,78 mio. €"
49,,Besiktas JK,Süper Lig,"49,35 mio. €",114,"20,08 mio. €",112,"-29,27 mio. €"
50,,Celtic Glasgow,Premiership,"49,27 mio. €",64,"15,85 mio. €",75,"-33,42 mio. €"
51,,West Bromwich Albion,Premier League,"48,95 mio. €",76,"12,33 mio. €",74,"-36,62 mio. €"
52,,Real Sociedad,LaLiga,"47,46 mio. €",62,"25,14 mio. €",63,"-22,32 mio. €"
53,,West Ham United,Championship,"45,47 mio. €",109,"107,95 mio. €",123,"62,48 mio. €"
54,,Real Zaragoza,LaLiga,"44,53 mio. €",50,"37,38 mio. €",48,"-7,15 mio. €"
55,,Ajax Amsterdam,Eredivisie,"44,43 mio. €",82,"74,73 mio. €",84,"30,30 mio. €"
56,,Hamburger SV,Bundesliga,"43,97 mio. €",62,"21,13 mio. €",65,"-22,85 mio. €"
57,,Spartak Moscou,Premier Liga,"42,55 mio. €",95,"8,37 mio. €",93,"-34,18 mio. €"
58,,Feyenoord Rotterdam,Eredivisie,"40,43 mio. €",87,"46,65 mio. €",89,"6,22 mio. €"
59,,FC Schalke 04,Bundesliga,"39,73 mio. €",45,"6,75 mio. €",43,"-32,98 mio. €"
60,,VfL Wolfsburg,Bundesliga,"39,36 mio. €",59,"13,40 mio. €",61,"-25,96 mio. €"
61,,CSKA Moscou,Premier Liga,"39,17 mio. €",68,"11,85 mio. €",67,"-27,32 mio. €"
62,,Sporting CP,Liga Portugal,"38,70 mio. €",95,"74,28 mio. €",99,"35,58 mio. €"
63,,Wolverhampton Wanderers,Championship,"38,08 mio. €",99,"4,25 mio. €",96,"-33,83 mio. €"
64,,Napoli Soccer,Serie C - B,"37,71 mio. €",141,"19,41 mio. €",155,"-18,30 mio. €"
65,,FC Portsmouth,Premier League,"36,73 mio. €",138,"17,29 mio. €",136,"-19,45 mio. €"
66,,Dynamo Kyiv,Premier Liga,"36,08 mio. €",58,"41,95 mio. €",58,"5,88 mio. €"
67,,US Palermo,Serie A,"35,43 mio. €",125,"2,70 mio. €",135,"-32,73 mio. €"
68,,RC Lens,Ligue 1,"34,59 mio. €",82,"60,35 mio. €",83,"25,76 mio. €"
69,,Leicester City,Championship,"34,21 mio. €",108,"28,15 mio. €",115,"-6,06 mio. €"
70,,Corinthians São Paulo,Série A,"30,75 mio. €",96,"30,08 mio. €",94,-670 K €
71,,Ipswich Town,Championship,"30,20 mio. €",81,"36,95 mio. €",83,"6,75 mio. €"
72,,Coventry City,Championship,"27,75 mio. €",115,"77,18 mio. €",132,"49,43 mio. €"
73,,SV Werder Bremen,Bundesliga,"26,73 mio. €",48,"31,29 mio. €",55,"4,56 mio. €"
74,,Dynamo Moscou,Premier Liga,"26,23 mio. €",73,"9,24 mio. €",66,"-16,99 mio. €"
75,,1.FC Kaiserslautern,Bundesliga,"25,69 mio. €",57,"12,35 mio. €",55,"-13,34 mio. €"
76,,Olympiakós Le Pirée,Super League 1,"25,00 mio. €",63,"8,00 mio. €",59,"-17,00 mio. €"
77,,Sevilla FC,LaLiga,"24,84 mio. €",70,"37,90 mio. €",68,"13,06 mio. €"
78,,FC Nantes,Ligue 1,"22,80 mio. €",58,"46,91 mio. €",55,"24,11 mio. €"
79,,Hertha BSC,Bundesliga,"22,58 mio. €",47,"15,76 mio. €",47,"-6,82 mio. €"
80,,Crystal Palace,Premier League,"21,90 mio. €",90,"8,68 mio. €",88,"-13,22 mio. €"
81,,Espanyol Barcelona,LaLiga,"21,72 mio. €",67,"21,16 mio. €",69,-560 K €
82,,VfB Stuttgart,Bundesliga,"21,70 mio. €",43,"8,23 mio. €",51,"-13,48 mio. €"
83,,Standard de Liège,Jupiler Pro League,"20,50 mio. €",77,"26,10 mio. €",83,"5,60 mio. €"
84,,Lokomotiv Moscou,Premier Liga,"20,45 mio. €",41,"5,57 mio. €",44,"-14,88 mio. €"
85,,Panathinaikos Athen,Super League 1,"20,19 mio. €",71,"6,20 mio. €",66,"-13,99 mio. €"
86,,RCD Mallorca,LaLiga,"19,82 mio. €",68,"102,01 mio. €",74,"82,19 mio. €"
87,,Atalanta BC,Serie A,"19,35 mio. €",93,"53,52 mio. €",97,"34,17 mio. €"
88,,FC Bâle 1893,Super League,"19,06 mio. €",65,"13,75 mio. €",61,"-5,31 mio. €"
89,,Trabzonspor,Süper Lig,"18,33 mio. €",111,"6,17 mio. €",116,"-12,16 mio. €"
90,,Derby County,Championship,"18,14 mio. €",91,"38,78 mio. €",96,"20,64 mio. €"
91,,UD Las Palmas,2ª B - Grupo I,"17,75 mio. €",80,"11,00 mio. €",79,"-6,75 mio. €"
92,,Hellas Verona,Serie B,"17,37 mio. €",115,"46,75 mio. €",118,"29,38 mio. €"
93,,Brescia Calcio,Serie A,"17,17 mio. €",113,"38,18 mio. €",114,"21,01 mio. €"
94,,Austria de Vienne,Bundesliga,"17,00 mio. €",88,"3,85 mio. €",91,"-13,15 mio. €"
95,,FC São Paulo,Série A,"16,25 mio. €",88,"61,65 mio. €",96,"45,40 mio. €"
96,,FC Bologna,Serie A,"15,73 mio. €",84,"23,31 mio. €",86,"7,58 mio. €"
97,,RSC Anderlecht,Jupiler Pro League,"15,55 mio. €",59,"29,75 mio. €",58,"14,20 mio. €"
98,,Borussia Mönchengladbach,Bundesliga,"15,06 mio. €",58,"5,14 mio. €",52,"-9,92 mio. €"
99,,Vitesse Arnhem,Eredivisie,"14,77 mio. €",52,"24,30 mio. €",58,"9,54 mio. €"
100,,AC Perugia,Serie B,"14,56 mio. €",155,"55,20 mio. €",151,"40,64 mio. €"
101,,Reggina Calcio,Serie A,"14,43 mio. €",106,"12,80 mio. €",107,"-1,63 mio. €"
102,,Hannover 96,Bundesliga,"14,37 mio. €",83,"9,50 mio. €",77,"-4,88 mio. €"
103,,Wigan Athletic,Championship,"14,16 mio. €",81,"4,54 mio. €",79,"-9,62 mio. €"
104,,US Lecce,Serie A,"14,11 mio. €",92,"37,28 mio. €",90,"23,18 mio. €"
105,,Udinese Calcio,Serie A,"14,10 mio. €",118,"48,77 mio. €",128,"34,67 mio. €"
106,,CA River Plate,Torneo Final,"13,82 mio. €",98,"147,46 mio. €",93,"133,64 mio. €"
107,,UC Sampdoria,Serie A,"13,50 mio. €",88,"15,25 mio. €",95,"1,75 mio. €"
108,,Málaga CF,LaLiga,"13,40 mio. €",39,"51,12 mio. €",41,"37,72 mio. €"
109,,Norwich City,Premier League,"13,22 mio. €",63,"10,73 mio. €",63,"-2,49 mio. €"
110,,AJ Auxerre,Ligue 1,"13,20 mio. €",47,"36,63 mio. €",53,"23,43 mio. €"
111,,CA Boca Juniors,Torneo Final,"12,78 mio. €",123,"105,98 mio. €",142,"93,19 mio. €"
112,,Krylya Sovetov Samara,Premier Liga,"12,43 mio. €",62,"2,30 mio. €",58,"-10,13 mio. €"
113,,AS Bari,Serie B,"11,87 mio. €",84,"39,20 mio. €",95,"27,33 mio. €"
114,,1. FC Köln,2. Bundesliga,"11,80 mio. €",52,"5,93 mio. €",47,"-5,88 mio. €"
115,,AC Chievo Verona,Serie A,"11,79 mio. €",150,"20,25 mio. €",153,"8,46 mio. €"
116,,Cruzeiro Esporte Clube,Série A,"11,32 mio. €",132,"58,65 mio. €",133,"47,33 mio. €"
117,,Cardiff City,Championship,"11,21 mio. €",66,"4,50 mio. €",61,"-6,71 mio. €"
118,,RC Strasbourg Alsace,Ligue 1,"11,15 mio. €",65,"22,55 mio. €",69,"11,40 mio. €"
119,,SK Sturm Graz,Bundesliga,"11,14 mio. €",55,"2,93 mio. €",60,"-8,20 mio. €"
120,,CD Cruz Azul,Liga MX Clausura,"11,10 mio. €",63,"18,00 mio. €",62,"6,90 mio. €"
121,,Zenit St. Pétersbourg,Premier Liga,"10,82 mio. €",45,"5,19 mio. €",44,"-5,64 mio. €"
122,,FC Copenhague,Superligaen,"10,63 mio. €",51,"17,38 mio. €",58,"6,75 mio. €"
123,,Saturn Ramenskoe,Premier Liga,"10,63 mio. €",68,750 K €,76,"-9,88 mio. €"
124,,TSV 1860 München,2. Bundesliga,"10,60 mio. €",54,"18,12 mio. €",54,"7,52 mio. €"
125,,AEK Athènes,Super League 1,"9,70 mio. €",78,"2,20 mio. €",83,"-7,50 mio. €"
126,,Piacenza FC,Serie B,"9,53 mio. €",96,"17,52 mio. €",99,"8,00 mio. €"
127,,Preston North End,Championship,"9,48 mio. €",96,"16,90 mio. €",98,"7,42 mio. €"
128,,Rubin Kazan,Premier Liga,"9,35 mio. €",87,-,81,"-9,35 mio. €"
129,,Torino Calcio,Serie B,"9,08 mio. €",116,"2,15 mio. €",124,"-6,93 mio. €"
130,,FC Hansa Rostock,Bundesliga,"8,76 mio. €",40,"5,98 mio. €",40,"-2,79 mio. €"
131,,Bolton Wanderers,Premier League,"8,76 mio. €",125,"20,86 mio. €",125,"12,10 mio. €"
132,,VfL Bochum,Bundesliga,"8,69 mio. €",51,"12,93 mio. €",47,"4,24 mio. €"
133,,KRC Genk,Jupiler Pro League,"8,59 mio. €",74,"18,65 mio. €",83,"10,07 mio. €"
134,,Milton Keynes Dons,League One,"8,38 mio. €",97,"38,21 mio. €",107,"29,84 mio. €"
135,,Genclerbirligi Ankara,Süper Lig,"8,35 mio. €",101,"8,61 mio. €",99,255 K €
136,,Steaua Bucarest,SuperLiga,"8,20 mio. €",49,"4,73 mio. €",48,"-3,48 mio. €"
137,,Nottingham Forest,Championship,"8,16 mio. €",86,"30,33 mio. €",91,"22,17 mio. €"
138,,Grasshopper Club Zurich,Super League,"8,01 mio. €",69,"12,46 mio. €",80,"4,45 mio. €"
139,,LOSC Lille,Ligue 1,"8,01 mio. €",65,"25,73 mio. €",62,"17,72 mio. €"
140,,Catania Calcio,Serie B,"7,80 mio. €",149,200 K €,146,"-7,60 mio. €"
141,,Vicenza Calcio,Serie B,"7,73 mio. €",97,"24,00 mio. €",105,"16,28 mio. €"
142,,Rosenborg BK,Eliteserien,"7,61 mio. €",43,"15,47 mio. €",44,"7,86 mio. €"
143,,Jeonbuk Hyundai Motors,K League - 2nd Stage,"7,54 mio. €",90,625 K €,97,"-6,92 mio. €"
144,,AC Venezia 1907,Serie B,"7,53 mio. €",141,"9,78 mio. €",152,"2,25 mio. €"
145,,Ternana Calcio,Serie B,"7,43 mio. €",111,"20,04 mio. €",111,"12,61 mio. €"
146,,AS Saint-Étienne,Ligue 1,"7,25 mio. €",64,"5,72 mio. €",71,"-1,53 mio. €"
147,,Clube Regatas Flamengo,Série A,"7,15 mio. €",96,"38,86 mio. €",109,"31,71 mio. €"
148,,Deportivo Guadalajara,Liga MX Clausura,"6,90 mio. €",56,-,58,"-6,90 mio. €"
149,,Sociedade Esportiva Palmeiras,Série A,"6,86 mio. €",100,"18,16 mio. €",97,"11,30 mio. €"
150,,AC Sparta Prague,Fortuna Liga,"6,85 mio. €",77,"47,23 mio. €",82,"40,38 mio. €"
151,,CD Teneriffa,LaLiga2,"6,83 mio. €",89,"21,80 mio. €",85,"14,97 mio. €"
152,,CA Osasuna,LaLiga,"6,80 mio. €",61,"2,85 mio. €",64,"-3,95 mio. €"
153,,Bradford City,League One,"6,76 mio. €",101,"12,75 mio. €",101,"5,99 mio. €"
154,,FC Metz,Ligue 1,"6,75 mio. €",84,"17,28 mio. €",81,"10,53 mio. €"
155,,PAOK Thessaloniki,Super League 1,"6,70 mio. €",80,"7,35 mio. €",76,650 K €
156,,FC Moscou,Premier Liga,"6,43 mio. €",91,"1,28 mio. €",90,"-5,15 mio. €"
157,,FC Sochaux-Montbéliard,Ligue 1,"6,25 mio. €",51,"23,78 mio. €",51,"17,53 mio. €"
158,,Empoli FC,Serie B,"6,17 mio. €",81,"32,50 mio. €",85,"26,33 mio. €"
159,,FC Energie Cottbus,2. Bundesliga,"5,95 mio. €",65,"3,38 mio. €",68,"-2,57 mio. €"
160,,Eintracht Francfort,2. Bundesliga,"5,88 mio. €",68,"3,21 mio. €",67,"-2,67 mio. €"
161,,AZ Alkmaar,Eredivisie,"5,85 mio. €",42,"5,55 mio. €",45,-300 K €
162,,FC Twente Enschede,Eredivisie,"5,83 mio. €",58,"16,15 mio. €",61,"10,33 mio. €"
163,,Tigres UANL,Liga MX Clausura,"5,40 mio. €",59,-,54,"-5,40 mio. €"
164,,Roda JC Kerkrade,Eredivisie,"5,40 mio. €",49,"16,98 mio. €",51,"11,58 mio. €"
165,,Club Brugge KV,Jupiler Pro League,"5,17 mio. €",44,"7,97 mio. €",46,"2,80 mio. €"
166,,Deportivo Alavés,LaLiga2,"5,15 mio. €",61,"23,20 mio. €",53,"18,05 mio. €"
167,,Genoa CFC,Serie B,"5,13 mio. €",117,"10,72 mio. €",129,"5,59 mio. €"
168,,CA Independiente,Torneo Final,"5,12 mio. €",90,"26,00 mio. €",90,"20,88 mio. €"
169,,1.FC Nürnberg,Bundesliga,"5,08 mio. €",60,"4,41 mio. €",61,-670 K €
170,,Burnley FC,Championship,"5,06 mio. €",67,"7,23 mio. €",77,"2,17 mio. €"
171,,CA Newell's Old Boys,Torneo Final,"5,00 mio. €",70,"21,77 mio. €",72,"16,77 mio. €"
172,,Vissel Kobe,J1 League,"5,00 mio. €",69,-,62,"-5,00 mio. €"
173,,Gaziantepspor,Süper Lig,"5,00 mio. €",108,"10,20 mio. €",111,"5,20 mio. €"
174,,Racing Club,Torneo Final,"4,95 mio. €",78,"15,92 mio. €",75,"10,97 mio. €"
175,,Santos Laguna,Liga MX Clausura,"4,95 mio. €",51,"2,65 mio. €",58,"-2,30 mio. €"
176,,SK Slavia Prague,Fortuna Liga,"4,83 mio. €",68,"10,20 mio. €",70,"5,38 mio. €"
177,,FC Watford,Championship,"4,82 mio. €",82,"4,50 mio. €",94,-323 K €
178,,Clube Atlético Paranaense,Série A,"4,80 mio. €",109,"41,22 mio. €",101,"36,42 mio. €"
179,,OGC Nice,Ligue 1,"4,63 mio. €",65,"9,55 mio. €",71,"4,92 mio. €"
180,,Alania Vladikavkaz,Premier Liga,"4,51 mio. €",98,"4,35 mio. €",97,-155 K €
181,,Kashiwa Reysol,J1 League,"4,50 mio. €",48,"3,50 mio. €",45,"-1,00 mio. €"
182,,Arminia Bielefeld,Bundesliga,"4,49 mio. €",64,"8,33 mio. €",64,"3,84 mio. €"
183,,CSKA Sofia,efbet Liga,"4,45 mio. €",94,"6,68 mio. €",90,"2,23 mio. €"
184,,FC Reading,Championship,"4,39 mio. €",77,565 K €,88,"-3,82 mio. €"
185,,Levski Sofia,efbet Liga,"4,37 mio. €",91,"5,95 mio. €",97,"1,58 mio. €"
186,,Rayo Vallecano,2ª B - Grupo I,"4,22 mio. €",74,"9,54 mio. €",79,"5,32 mio. €"
187,,Metalurg Donetsk (- 2015),Premier Liga,"4,10 mio. €",74,"2,75 mio. €",72,"-1,35 mio. €"
188,,NEC Nijmegen,Eredivisie,"3,88 mio. €",52,"2,57 mio. €",58,"-1,31 mio. €"
189,,Maccabi Haifa,Ligat ha'Al,"3,78 mio. €",75,"5,25 mio. €",75,"1,47 mio. €"
190,,UD Levante,LaLiga,"3,78 mio. €",80,"4,92 mio. €",81,"1,14 mio. €"
191,,1.FSV Mainz 05,Bundesliga,"3,78 mio. €",51,"4,93 mio. €",59,"1,15 mio. €"
192,,Djurgårdens IF,Allsvenskan,"3,74 mio. €",52,"6,92 mio. €",53,"3,18 mio. €"
193,,FC Arsenal U18,Angleterre,"3,55 mio. €",13,"1,51 mio. €",45,"-2,05 mio. €"
194,,FK Khimki,1.Division,"3,50 mio. €",95,100 K €,91,"-3,40 mio. €"
195,,Al-Ittihad Club (Jeddah),Saudi Pro League,"3,50 mio. €",38,19 K €,25,"-3,48 mio. €"
196,,FK Rostov,Premier Liga,"3,50 mio. €",61,"2,70 mio. €",61,-795 K €
197,,AS Livorno,Serie A,"3,40 mio. €",76,"6,50 mio. €",84,"3,10 mio. €"
198,,Modena FC,Serie B,"3,40 mio. €",93,"3,50 mio. €",93,100 K €
199,,Real Murcia CF,LaLiga2,"3,32 mio. €",70,"2,50 mio. €",68,-820 K €
200,,FC St. Pauli,Regionalliga Nord,"3,30 mio. €",77,"1,62 mio. €",77,"-1,69 mio. €"
201,,FC Dinamo 1948,SuperLiga,"3,26 mio. €",90,"19,13 mio. €",99,"15,87 mio. €"
202,,SpVgg Unterhaching,2. Bundesliga,"3,23 mio. €",58,"1,23 mio. €",59,"-2,00 mio. €"
203,,SC Heerenveen,Eredivisie,"3,22 mio. €",68,"7,21 mio. €",72,"3,99 mio. €"
204,,Suwon Samsung Bluewings,K League - 2nd Stage,"3,17 mio. €",91,"8,11 mio. €",90,"4,94 mio. €"
205,,AC Siena,Serie A,"3,10 mio. €",109,"1,07 mio. €",109,"-2,03 mio. €"
206,,Panionios Athen,Super League 1,"3,03 mio. €",89,"3,35 mio. €",86,320 K €
207,,FC Groningen,Eredivisie,"3,00 mio. €",53,"8,30 mio. €",54,"5,30 mio. €"
208,,Shinnik Yaroslavl,Premier Liga,"2,92 mio. €",78,"1,33 mio. €",71,"-1,59 mio. €"
209,,Sheffield Wednesday,League One,"2,92 mio. €",102,"5,29 mio. €",117,"2,38 mio. €"
210,,Manchester United U18,Angleterre,"2,91 mio. €",18,-,37,"-2,91 mio. €"
211,,Sheffield United,Championship,"2,91 mio. €",123,"6,58 mio. €",114,"3,67 mio. €"
212,,Denizlispor,Süper Lig,"2,83 mio. €",106,"15,00 mio. €",109,"12,17 mio. €"
213,,Maccabi Tel Aviv,Ligat ha'Al,"2,80 mio. €",66,"1,40 mio. €",64,"-1,41 mio. €"
214,,Hull City,League One,"2,76 mio. €",108,125 K €,105,"-2,64 mio. €"
215,,Iraklis Thessalonique,Super League 1,"2,72 mio. €",73,"9,80 mio. €",73,"7,09 mio. €"
216,,Al-Ahli Dubai Club (- 2017),Émirats Arabes Unis,"2,70 mio. €",9,-,11,"-2,70 mio. €"
217,,Al-Nasr SC (UAE),Émirats Arabes Unis,"2,69 mio. €",19,30 K €,18,"-2,66 mio. €"
218,,KAA La Gantoise,Jupiler Pro League,"2,65 mio. €",95,"9,13 mio. €",93,"6,47 mio. €"
219,,Racing Santander,LaLiga,"2,63 mio. €",59,"31,90 mio. €",55,"29,27 mio. €"
220,,Stockport County,League One,"2,61 mio. €",101,"6,23 mio. €",106,"3,62 mio. €"
221,,Académica Coimbra,Liga Portugal,"2,60 mio. €",74,"1,20 mio. €",62,"-1,40 mio. €"
222,,Hibernian FC,Premiership,"2,60 mio. €",76,"8,49 mio. €",70,"5,89 mio. €"
223,,Torpedo Moskau,Premier Liga,"2,59 mio. €",53,"2,33 mio. €",54,-260 K €
224,,RSC Anderlecht U19,Belgique,"2,58 mio. €",11,75 K €,32,"-2,51 mio. €"
225,,Bröndby IF,Superligaen,"2,56 mio. €",44,"8,04 mio. €",46,"5,48 mio. €"
226,,Bristol City,League One,"2,55 mio. €",79,"1,25 mio. €",79,"-1,30 mio. €"
227,,SC Fribourg,Bundesliga,"2,51 mio. €",42,"5,98 mio. €",37,"3,47 mio. €"
228,,Tiburones Rojos de Veracruz,Liga MX Clausura,"2,50 mio. €",77,-,65,"-2,50 mio. €"
229,,Toulouse FC,Ligue 1,"2,50 mio. €",66,"3,00 mio. €",70,500 K €
230,,Kawasaki Frontale,J1 League,"2,50 mio. €",52,-,51,"-2,50 mio. €"
231,,SC Braga,Liga Portugal,"2,50 mio. €",87,"16,43 mio. €",87,"13,93 mio. €"
232,,Calcio Como,Serie C - A,"2,50 mio. €",126,"4,74 mio. €",135,"2,24 mio. €"
233,,OFK Beograd,Super liga Srbije,"2,43 mio. €",103,"6,21 mio. €",95,"3,78 mio. €"
234,,Athletic Bilbao,LaLiga,"2,40 mio. €",27,"1,80 mio. €",27,-600 K €
235,,Seongnam Ilhwa Chunma,K League - 2nd Stage,"2,39 mio. €",75,879 K €,69,"-1,51 mio. €"
236,,GNK Dinamo Zagreb,Croatie,"2,36 mio. €",95,"36,38 mio. €",122,"34,03 mio. €"
237,,Litex Lovech,efbet Liga,"2,32 mio. €",52,"7,75 mio. €",55,"5,43 mio. €"
238,,FC Seoul,K League - 2nd Stage,"2,29 mio. €",79,"4,64 mio. €",73,"2,34 mio. €"
239,,Chunnam Dragons,K League - 2nd Stage,"2,00 mio. €",84,900 K €,68,"-1,10 mio. €"
240,,Querétaro FC,Liga Expansión MX Cl.,"2,00 mio. €",93,-,73,"-2,00 mio. €"
241,,CF Pachuca,Liga MX Clausura,"2,00 mio. €",65,"7,55 mio. €",54,"5,55 mio. €"
242,,CA San Lorenzo de Almagro,Torneo Final,"1,95 mio. €",73,"11,61 mio. €",83,"9,66 mio. €"
243,,JEF United Chiba,J1 League,"1,95 mio. €",52,-,48,"-1,95 mio. €"
244,,Club Atlético Colón,Torneo Final,"1,80 mio. €",62,"6,90 mio. €",58,"5,10 mio. €"
245,,Puebla FC,Liga MX Clausura,"1,70 mio. €",86,-,90,"-1,70 mio. €"
246,,Club Atlético Unión,Argentine,"1,70 mio. €",63,600 K €,63,"-1,10 mio. €"
247,,Pohang Steelers,K League - 2nd Stage,"1,65 mio. €",80,100 K €,70,"-1,55 mio. €"
248,,Incheon United,K League - 2nd Stage,"1,63 mio. €",50,"1,98 mio. €",15,354 K €
249,,Kashima Antlers,J1 League,"1,63 mio. €",41,-,37,"-1,63 mio. €"
250,,Busan I'Park,K League - 2nd Stage,"1,17 mio. €",69,"4,44 mio. €",62,"3,27 mio. €"
