#,Club(s),Club(s),Compétition,Dépenses,Arrivées,Revenus,Départs,Solde
39,,VfL Wolfsburg,Bundesliga,"133,93 mio. €",52,"57,50 mio. €",53,"-76,43 mio. €"
40,,FC Fulham,Premier League,"129,75 mio. €",56,"28,10 mio. €",56,"-101,65 mio. €"
41,,US Sassuolo,Serie A,"119,25 mio. €",132,"160,20 mio. €",137,"40,95 mio. €"
42,,Bayer 04 Leverkusen,Bundesliga,"116,65 mio. €",37,"143,60 mio. €",34,"26,95 mio. €"
43,,Genoa CFC,Serie B,"112,28 mio. €",189,"105,12 mio. €",189,"-7,16 mio. €"
44,,Real Madrid,LaLiga,"111,00 mio. €",36,"274,35 mio. €",38,"163,35 mio. €"
45,,Sporting CP,Liga Portugal,"110,97 mio. €",88,"189,35 mio. €",86,"78,38 mio. €"
46,,FC Porto,Liga Portugal,"108,30 mio. €",55,"234,45 mio. €",55,"126,15 mio. €"
47,,Club Brugge KV,Jupiler Pro League,"108,16 mio. €",66,"112,88 mio. €",63,"4,71 mio. €"
48,,Hellas Verona,Serie A,"100,42 mio. €",134,"76,81 mio. €",133,"-23,61 mio. €"
49,,Villarreal CF,LaLiga,"97,48 mio. €",61,"68,63 mio. €",61,"-28,86 mio. €"
50,,AFC Bournemouth,Premier League,"95,74 mio. €",55,"120,45 mio. €",52,"24,71 mio. €"
51,,FC Brentford,Premier League,"95,50 mio. €",50,"66,60 mio. €",52,"-28,90 mio. €"
52,,Lazio Rome,Serie A,"95,30 mio. €",95,"55,30 mio. €",99,"-40,00 mio. €"
53,,Olympique Lyonnais,Ligue 1,"92,06 mio. €",53,"225,05 mio. €",59,"132,99 mio. €"
54,,LOSC Lille,Ligue 1,"92,03 mio. €",47,"281,93 mio. €",46,"189,91 mio. €"
55,,Zenit St. Pétersbourg,Premier Liga,"91,90 mio. €",33,"19,50 mio. €",33,"-72,40 mio. €"
56,,Norwich City,Championship,"91,24 mio. €",76,"86,47 mio. €",79,"-4,77 mio. €"
57,,Torino FC,Serie A,"89,33 mio. €",99,"94,10 mio. €",94,"4,77 mio. €"
58,,Burnley FC,Championship,"88,70 mio. €",45,"119,26 mio. €",42,"30,56 mio. €"
59,,Udinese Calcio,Serie A,"83,40 mio. €",88,"172,98 mio. €",85,"89,57 mio. €"
60,,Fenerbahce,Süper Lig,"81,22 mio. €",92,"61,49 mio. €",92,"-19,73 mio. €"
61,,Lokomotiv Moscou,Premier Liga,"78,62 mio. €",53,"38,96 mio. €",55,"-39,66 mio. €"
62,,RC Lens,Ligue 1,"77,95 mio. €",54,"69,59 mio. €",49,"-8,36 mio. €"
63,,Galatasaray,Süper Lig,"77,62 mio. €",102,"18,81 mio. €",101,"-58,81 mio. €"
64,,UD Almería,LaLiga,"76,68 mio. €",80,"62,70 mio. €",78,"-13,98 mio. €"
65,,Red Bull Salzbourg,Bundesliga,"75,20 mio. €",90,"209,07 mio. €",85,"133,87 mio. €"
66,,FC Bologna,Serie A,"72,67 mio. €",97,"75,70 mio. €",93,"3,03 mio. €"
67,,Celtic Glasgow,Premiership,"72,34 mio. €",74,"68,91 mio. €",75,"-3,43 mio. €"
68,,Shakhtar Donetsk,Premier Liga,"69,90 mio. €",82,"125,60 mio. €",84,"55,70 mio. €"
69,,Clube Regatas Flamengo,Série A,"67,75 mio. €",58,"93,26 mio. €",68,"25,51 mio. €"
70,,Sheffield United,Championship,"67,50 mio. €",49,"28,00 mio. €",54,"-39,50 mio. €"
71,,Hertha BSC,Bundesliga,"67,20 mio. €",63,"87,70 mio. €",66,"20,50 mio. €"
72,,FC Lorient,Ligue 1,"67,20 mio. €",62,"55,85 mio. €",63,"-11,35 mio. €"
73,,Real Sociedad,LaLiga,"65,50 mio. €",36,"108,75 mio. €",32,"43,25 mio. €"
74,,AC Monza,Serie A,"64,55 mio. €",97,-,94,"-64,55 mio. €"
75,,FC Watford,Championship,"62,31 mio. €",89,"141,18 mio. €",87,"78,87 mio. €"
76,,KRC Genk,Jupiler Pro League,"62,05 mio. €",58,"88,30 mio. €",56,"26,25 mio. €"
77,,US Salernitana 1919,Serie A,"60,52 mio. €",140,"34,70 mio. €",140,"-25,82 mio. €"
78,,Royal Antwerp FC,Jupiler Pro League,"59,77 mio. €",67,"12,42 mio. €",73,"-47,35 mio. €"
79,,FK Krasnodar,Premier Liga,"58,58 mio. €",49,"16,97 mio. €",49,"-41,61 mio. €"
80,,Cagliari Calcio,Serie B,"56,48 mio. €",95,"86,51 mio. €",96,"30,03 mio. €"
81,,Borussia Mönchengladbach,Bundesliga,"54,50 mio. €",36,"32,20 mio. €",35,"-22,30 mio. €"
82,,FC Getafe,LaLiga,"53,80 mio. €",64,"51,25 mio. €",64,"-2,55 mio. €"
83,,Spartak Moscou,Premier Liga,"52,76 mio. €",68,"31,78 mio. €",67,"-20,98 mio. €"
84,,West Bromwich Albion,Championship,"52,12 mio. €",48,"29,18 mio. €",50,"-22,94 mio. €"
85,,Eintracht Francfort,Bundesliga,"52,00 mio. €",66,"64,50 mio. €",67,"12,50 mio. €"
86,,Atlanta United FC,MLS,"51,35 mio. €",65,"24,15 mio. €",65,"-27,20 mio. €"
87,,Red Bull Bragantino,Série A,"51,19 mio. €",79,"31,15 mio. €",74,"-20,04 mio. €"
88,,Spezia Calcio,Serie A,"51,02 mio. €",104,"44,99 mio. €",103,"-6,03 mio. €"
89,,Tigres UANL,Liga MX Clausura,"49,89 mio. €",39,"16,94 mio. €",42,"-32,95 mio. €"
90,,Feyenoord Rotterdam,Eredivisie,"49,42 mio. €",67,"76,00 mio. €",66,"26,59 mio. €"
91,,Stade de Reims,Ligue 1,"47,60 mio. €",53,"60,90 mio. €",58,"13,30 mio. €"
92,,Trabzonspor,Süper Lig,"47,27 mio. €",114,"23,01 mio. €",113,"-24,26 mio. €"
93,,ESTAC Troyes,Ligue 1,"47,20 mio. €",63,"16,00 mio. €",62,"-31,20 mio. €"
94,,1.FC Union Berlin,Bundesliga,"46,45 mio. €",67,"57,14 mio. €",72,"10,69 mio. €"
95,,CSKA Moscou,Premier Liga,"46,12 mio. €",59,"53,96 mio. €",60,"7,84 mio. €"
96,,FC Augsburg,Bundesliga,"45,81 mio. €",45,"28,00 mio. €",46,"-17,81 mio. €"
97,,VfB Stuttgart,Bundesliga,"44,59 mio. €",51,"101,02 mio. €",50,"56,43 mio. €"
98,,CF América,Liga MX Clausura,"44,13 mio. €",48,"12,36 mio. €",49,"-31,77 mio. €"
99,,Al-Nassr FC,Saudi Pro League,"42,62 mio. €",58,"7,22 mio. €",66,"-35,40 mio. €"
100,,KAA La Gantoise,Jupiler Pro League,"42,50 mio. €",54,"68,88 mio. €",56,"26,38 mio. €"
101,,Al-Hilal Saudi FC,Saudi Pro League,"41,94 mio. €",41,530 K €,37,"-41,41 mio. €"
102,,FC Granada,LaLiga2,"41,20 mio. €",58,"33,71 mio. €",57,"-7,49 mio. €"
103,,Dinamo Moscou,Premier Liga,"40,99 mio. €",46,"15,76 mio. €",47,"-25,23 mio. €"
104,,PSV Eindhoven,Eredivisie,"40,20 mio. €",53,"158,07 mio. €",52,"117,87 mio. €"
105,,SC Fribourg,Bundesliga,"39,75 mio. €",37,"73,83 mio. €",38,"34,08 mio. €"
106,,FC Copenhague,Superligaen,"39,51 mio. €",53,"62,59 mio. €",49,"23,08 mio. €"
107,,Sociedade Esportiva Palmeiras,Série A,"38,70 mio. €",91,"91,25 mio. €",103,"52,55 mio. €"
108,,UC Sampdoria,Serie A,"38,26 mio. €",126,"56,40 mio. €",126,"18,14 mio. €"
109,,Olympiakós Le Pirée,Super League 1,"37,92 mio. €",105,"41,60 mio. €",105,"3,68 mio. €"
110,,Manchester City U21,Premier League 2,"36,00 mio. €",113,"68,75 mio. €",101,"32,75 mio. €"
111,,CA River Plate,Superliga,"35,98 mio. €",51,"116,63 mio. €",45,"80,66 mio. €"
112,,Celta Vigo,LaLiga,"35,37 mio. €",43,"21,50 mio. €",47,"-13,87 mio. €"
113,,US Cremonese,Serie A,"34,79 mio. €",91,500 K €,88,"-34,29 mio. €"
114,,Besiktas JK,Süper Lig,"34,58 mio. €",102,"10,00 mio. €",98,"-24,58 mio. €"
115,,Glasgow Rangers,Premiership,"32,79 mio. €",63,"48,19 mio. €",59,"15,41 mio. €"
116,,1.FSV Mainz 05,Bundesliga,"32,70 mio. €",52,"56,00 mio. €",55,"23,30 mio. €"
117,,Clube Atlético Mineiro,Série A,"31,58 mio. €",93,"48,42 mio. €",99,"16,84 mio. €"
118,,FC Empoli,Serie A,"31,15 mio. €",122,"59,97 mio. €",120,"28,82 mio. €"
119,,Venezia FC,Serie B,"30,98 mio. €",106,"12,55 mio. €",106,"-18,43 mio. €"
120,,Stade Brestois 29,Ligue 1,"30,70 mio. €",49,"42,30 mio. €",49,"11,60 mio. €"
121,,Juventus Next Gen,Serie C - A,"29,55 mio. €",133,"52,81 mio. €",132,"23,26 mio. €"
122,,Al-Duhail SC,Stars League,"29,50 mio. €",51,"4,25 mio. €",52,"-25,25 mio. €"
123,,Espanyol Barcelona,LaLiga,"29,36 mio. €",46,"24,50 mio. €",45,"-4,86 mio. €"
124,,RSC Anderlecht,Jupiler Pro League,"28,48 mio. €",82,"98,86 mio. €",89,"70,38 mio. €"
125,,Real Betis Balompié,LaLiga,"28,25 mio. €",35,"72,45 mio. €",34,"44,20 mio. €"
126,,Deportivo Toluca,Liga MX Clausura,"28,07 mio. €",59,-,61,"-28,07 mio. €"
127,,FC Cincinnati,MLS,"27,82 mio. €",59,"2,13 mio. €",60,"-25,70 mio. €"
128,,Elche CF,LaLiga,"27,46 mio. €",60,"14,90 mio. €",55,"-12,56 mio. €"
129,,CF Monterrey,Liga MX Clausura,"27,22 mio. €",40,"26,53 mio. €",39,-685 K €
130,,RCD Mallorca,LaLiga,"27,07 mio. €",63,"14,10 mio. €",67,"-12,97 mio. €"
131,,FC Midtjylland,Superligaen,"26,76 mio. €",98,"71,51 mio. €",100,"44,75 mio. €"
132,,AZ Alkmaar,Eredivisie,"26,73 mio. €",50,"86,75 mio. €",48,"60,03 mio. €"
133,,GNK Dinamo Zagreb,SuperSport HNL,"26,60 mio. €",106,"71,35 mio. €",110,"44,75 mio. €"
134,,Charlotte FC,MLS,"26,59 mio. €",59,"5,80 mio. €",24,"-20,80 mio. €"
135,,Austin FC,MLS,"26,02 mio. €",67,305 K €,43,"-25,72 mio. €"
136,,FC Valencia,LaLiga,"25,90 mio. €",43,"145,15 mio. €",44,"119,25 mio. €"
137,,1. FC Köln,Bundesliga,"25,80 mio. €",56,"50,72 mio. €",57,"24,92 mio. €"
138,,Middlesbrough FC,Championship,"25,78 mio. €",66,"29,14 mio. €",69,"3,36 mio. €"
139,,Cádiz CF,LaLiga,"25,70 mio. €",81,"1,00 mio. €",77,"-24,70 mio. €"
140,,Rubin Kazan,1.Division,"25,28 mio. €",87,"32,91 mio. €",81,"7,62 mio. €"
141,,FC Nantes,Ligue 1,"24,95 mio. €",40,"17,80 mio. €",41,"-7,15 mio. €"
142,,Racing Club,Superliga,"24,92 mio. €",68,"34,38 mio. €",70,"9,46 mio. €"
143,,SPAL,Serie B,"24,80 mio. €",100,"30,60 mio. €",97,"5,80 mio. €"
144,,Al-Ittihad Club (Jeddah),Saudi Pro League,"24,69 mio. €",49,"3,69 mio. €",50,"-21,00 mio. €"
145,,Pisa Sporting Club,Serie B,"24,35 mio. €",103,"5,75 mio. €",107,"-18,60 mio. €"
146,,Club Athletico Paranaense,Série A,"23,90 mio. €",82,"29,20 mio. €",81,"5,30 mio. €"
147,,Chicago Fire FC,MLS,"23,85 mio. €",40,"33,20 mio. €",41,"9,35 mio. €"
148,,TSG 1899 Hoffenheim,Bundesliga,"23,80 mio. €",51,"78,80 mio. €",44,"55,00 mio. €"
149,,FC Bâle 1893,Super League,"23,73 mio. €",66,"40,26 mio. €",65,"16,53 mio. €"
150,,RC Strasbourg Alsace,Ligue 1,"23,50 mio. €",41,"27,40 mio. €",41,"3,90 mio. €"
151,,Montpellier Hérault SC,Ligue 1,"22,80 mio. €",37,"35,00 mio. €",36,"12,20 mio. €"
152,,Ferencvárosi TC,NB I.,"22,52 mio. €",57,"10,70 mio. €",59,"-11,82 mio. €"
153,,FC Barcelone Atlètic,Primera Federación - Gr. II,"22,30 mio. €",71,"39,40 mio. €",69,"17,10 mio. €"
154,,Toulouse FC,Ligue 1,"22,24 mio. €",52,"48,15 mio. €",56,"25,91 mio. €"
155,,CD Cruz Azul,Liga MX Clausura,"22,23 mio. €",44,"17,08 mio. €",43,"-5,15 mio. €"
156,,Basaksehir FK,Süper Lig,"22,10 mio. €",111,"24,55 mio. €",106,"2,45 mio. €"
157,,Grêmio Porto Alegre,Série A,"22,05 mio. €",94,"75,93 mio. €",99,"53,88 mio. €"
158,,Orlando City SC,MLS,"22,04 mio. €",59,"10,17 mio. €",57,"-11,87 mio. €"
159,,Clube de Regatas Vasco da Gama,Série A,"21,60 mio. €",98,"25,92 mio. €",107,"4,32 mio. €"
160,,SC Braga,Liga Portugal,"21,20 mio. €",72,"133,56 mio. €",77,"112,36 mio. €"
161,,SK Slavia Prague,Fortuna Liga,"21,10 mio. €",105,"70,64 mio. €",101,"49,55 mio. €"
162,,Lommel SK,Challenger Pro League,"20,91 mio. €",66,150 K €,69,"-20,76 mio. €"
163,,New York City FC,MLS,"20,23 mio. €",49,"4,49 mio. €",47,"-15,74 mio. €"
164,,Chelsea FC U21,Premier League 2,"20,20 mio. €",103,"39,14 mio. €",83,"18,94 mio. €"
165,,FK Rostov,Premier Liga,"20,20 mio. €",84,"26,07 mio. €",84,"5,87 mio. €"
166,,FC São Paulo,Série A,"19,94 mio. €",75,"66,08 mio. €",78,"46,14 mio. €"
167,,CA Osasuna,LaLiga,"19,85 mio. €",40,"3,45 mio. €",44,"-16,40 mio. €"
168,,Los Angeles FC,MLS,"19,70 mio. €",68,"22,87 mio. €",66,"3,17 mio. €"
169,,Bröndby IF,Superligaen,"19,67 mio. €",41,"17,09 mio. €",38,"-2,58 mio. €"
170,,SV Werder Bremen,Bundesliga,"19,45 mio. €",52,"47,10 mio. €",58,"27,65 mio. €"
171,,Al-Shabab Club (Riyadh),Saudi Pro League,"19,31 mio. €",57,"4,28 mio. €",50,"-15,02 mio. €"
172,,FC Metz,Ligue 2,"19,20 mio. €",63,"49,70 mio. €",68,"30,50 mio. €"
173,,Portland Timbers,MLS,"19,18 mio. €",34,"2,47 mio. €",36,"-16,72 mio. €"
174,,Angers SCO,Ligue 1,"19,12 mio. €",52,"65,80 mio. €",48,"46,68 mio. €"
175,,FC Girondins de Bordeaux,Ligue 2,"18,80 mio. €",61,"57,30 mio. €",61,"38,50 mio. €"
176,,Shanghai Port,Super League,"18,63 mio. €",55,"6,09 mio. €",55,"-12,54 mio. €"
177,,Benevento Calcio,Serie B,"18,56 mio. €",88,"7,54 mio. €",84,"-11,02 mio. €"
178,,Boavista Porto FC,Liga Portugal,"18,52 mio. €",68,"22,50 mio. €",64,"3,98 mio. €"
179,,Real Valladolid,LaLiga,"18,15 mio. €",76,"22,15 mio. €",75,"4,00 mio. €"
180,,Ludogorets Razgrad,efbet Liga,"17,85 mio. €",55,"12,46 mio. €",52,"-5,39 mio. €"
181,,Club Tijuana,Liga MX Clausura,"17,64 mio. €",97,"18,13 mio. €",95,493 K €
182,,Los Angeles Galaxy,MLS,"17,12 mio. €",50,"8,43 mio. €",52,"-8,69 mio. €"
183,,CA Boca Juniors,Superliga,"16,93 mio. €",53,"34,40 mio. €",48,"17,47 mio. €"
184,,Club León FC,Liga MX Clausura,"16,79 mio. €",46,"9,20 mio. €",44,"-7,59 mio. €"
185,,Esporte Clube Bahia,Série A,"16,71 mio. €",106,"9,65 mio. €",109,"-7,05 mio. €"
186,,AEK Athènes,Super League 1,"16,66 mio. €",77,"11,94 mio. €",79,"-4,72 mio. €"
187,,SC Internacional Porto Alegre,Série A,"16,59 mio. €",103,"58,03 mio. €",109,"41,44 mio. €"
188,,Botafogo de Futebol e Regatas,Série A,"16,01 mio. €",103,"20,06 mio. €",107,"4,05 mio. €"
189,,Vancouver Whitecaps FC,MLS,"15,93 mio. €",58,"4,47 mio. €",60,"-11,47 mio. €"
190,,Minnesota United FC,MLS,"15,85 mio. €",56,"2,60 mio. €",51,"-13,24 mio. €"
191,,New York Red Bulls,MLS,"15,81 mio. €",62,"2,59 mio. €",59,"-13,22 mio. €"
192,,Dijon FCO,Ligue 2,"15,80 mio. €",58,"23,95 mio. €",53,"8,15 mio. €"
193,,PAOK Thessaloniki,Super League 1,"15,68 mio. €",79,"40,71 mio. €",75,"25,03 mio. €"
194,,Rayo Vallecano,LaLiga,"15,60 mio. €",46,"3,40 mio. €",47,"-12,20 mio. €"
195,,Santos FC,Série A,"15,50 mio. €",105,"33,78 mio. €",107,"18,29 mio. €"
196,,Shenzhen FC,Super League,"15,31 mio. €",63,494 K €,60,"-14,82 mio. €"
197,,LOSC Lille B,N3 - Hauts-de-France,"15,30 mio. €",63,120 K €,72,"-15,18 mio. €"
198,,Girona FC,LaLiga,"15,00 mio. €",64,"11,77 mio. €",66,"-3,23 mio. €"
199,,SC Heerenveen,Eredivisie,"14,91 mio. €",49,"30,80 mio. €",46,"15,89 mio. €"
200,,BSC Young Boys,Super League,"14,27 mio. €",59,"41,65 mio. €",58,"27,38 mio. €"
201,,Al-Rayyan SC,Stars League,"14,00 mio. €",39,100 K €,32,"-13,90 mio. €"
202,,Hamburger SV,2. Bundesliga,"13,85 mio. €",48,"20,65 mio. €",50,"6,80 mio. €"
203,,Houston Dynamo FC,MLS,"13,69 mio. €",61,"6,35 mio. €",60,"-7,35 mio. €"
204,,AC Sparta Prague,Fortuna Liga,"13,69 mio. €",64,"23,38 mio. €",64,"9,69 mio. €"
205,,Columbus Crew,MLS,"13,37 mio. €",49,"1,59 mio. €",47,"-11,78 mio. €"
206,,Al-Ahli Saudi FC,Arabie Saoudite,"13,31 mio. €",57,"9,43 mio. €",59,"-3,88 mio. €"
207,,Krylya Sovetov Samara,Premier Liga,"13,20 mio. €",72,"20,63 mio. €",75,"7,43 mio. €"
208,,Hull City,Championship,"13,14 mio. €",72,"21,10 mio. €",74,"7,97 mio. €"
209,,FC Shabab Al-Ahli Dubai,UAE Pro League,"13,03 mio. €",48,"1,40 mio. €",55,"-11,63 mio. €"
210,,FC Schalke 04,Bundesliga,"12,88 mio. €",89,"68,55 mio. €",81,"55,67 mio. €"
211,,Inter Miami CF,MLS,"12,80 mio. €",75,"7,36 mio. €",74,"-5,44 mio. €"
212,,FC Dallas,MLS,"12,77 mio. €",68,"32,14 mio. €",69,"19,37 mio. €"
213,,FC Juárez,Liga MX Clausura,"12,77 mio. €",71,"2,80 mio. €",70,"-9,97 mio. €"
214,,El Ahly Le Caire,Premier League,"12,75 mio. €",55,"8,65 mio. €",58,"-4,10 mio. €"
215,,FK Bodø/Glimt,Eliteserien,"12,40 mio. €",61,"30,05 mio. €",56,"17,65 mio. €"
216,,Jeonbuk Hyundai Motors,K League 1,"12,22 mio. €",77,"6,26 mio. €",64,"-5,95 mio. €"
217,,Standard de Liège,Jupiler Pro League,"12,04 mio. €",50,"39,25 mio. €",53,"27,21 mio. €"
218,,Pyramids FC,Premier League,"12,02 mio. €",49,"6,62 mio. €",52,"-5,40 mio. €"
219,,Athletic Bilbao,LaLiga,"12,00 mio. €",33,-,31,"-12,00 mio. €"
220,,Amiens SC,Ligue 2,"11,95 mio. €",77,"35,20 mio. €",84,"23,25 mio. €"
221,,New England Revolution,MLS,"11,93 mio. €",54,"19,57 mio. €",51,"7,64 mio. €"
222,,AS Saint-Étienne,Ligue 2,"11,90 mio. €",62,"62,65 mio. €",65,"50,75 mio. €"
223,,Dynamo Kyiv,Premier Liga,"11,83 mio. €",101,"54,81 mio. €",100,"42,98 mio. €"
224,,Nîmes Olympique,Ligue 2,"11,75 mio. €",40,"14,03 mio. €",40,"2,28 mio. €"
225,,D.C. United,MLS,"11,72 mio. €",61,"11,40 mio. €",56,-325 K €
226,,Club Atlético Talleres,Superliga,"11,55 mio. €",98,"38,63 mio. €",101,"27,08 mio. €"
227,,Arminia Bielefeld,2. Bundesliga,"11,54 mio. €",60,"8,10 mio. €",62,"-3,44 mio. €"
228,,Etoile Rouge de Belgrade,Super liga Srbije,"11,36 mio. €",103,"15,75 mio. €",103,"4,39 mio. €"
229,,Nashville SC,MLS,"11,24 mio. €",57,"2,41 mio. €",54,"-8,83 mio. €"
230,,Leeds United U21,Premier League 2,"11,19 mio. €",53,-,43,"-11,19 mio. €"
231,,Corinthians São Paulo,Série A,"11,15 mio. €",102,"52,80 mio. €",100,"41,65 mio. €"
232,,Vitória Guimarães SC,Liga Portugal,"11,07 mio. €",70,"34,25 mio. €",73,"23,19 mio. €"
233,,Panathinaikos Athen,Super League 1,"11,03 mio. €",57,"6,38 mio. €",63,"-4,65 mio. €"
234,,Juventus Primavera,Primavera 1,"10,98 mio. €",88,"16,23 mio. €",91,"5,25 mio. €"
235,,Tianjin Jinmen Tiger,Super League,"10,96 mio. €",62,-,65,"-10,96 mio. €"
236,,FK Sochi,Premier Liga,"10,96 mio. €",49,"10,50 mio. €",49,-455 K €
237,,Club Estudiantes de La Plata,Superliga,"9,72 mio. €",77,"19,08 mio. €",79,"9,37 mio. €"
238,,CF Pachuca,Liga MX Clausura,"9,43 mio. €",54,"19,20 mio. €",52,"9,77 mio. €"
239,,Aarhus GF,Superligaen,"9,12 mio. €",45,"7,10 mio. €",46,"-2,02 mio. €"
240,,Puebla FC,Liga MX Clausura,"8,91 mio. €",50,"13,33 mio. €",53,"4,42 mio. €"
241,,Atlético de San Luis,Liga MX Clausura,"8,65 mio. €",69,"3,40 mio. €",65,"-5,25 mio. €"
242,,Montevideo City Torque,Primera División Apertura,"8,50 mio. €",62,"7,08 mio. €",63,"-1,42 mio. €"
243,,CA Vélez Sarsfield,Superliga,"8,08 mio. €",51,"40,99 mio. €",47,"32,90 mio. €"
244,,Fortaleza Esporte Clube,Série A,"7,92 mio. €",90,"4,62 mio. €",85,"-3,30 mio. €"
245,,Defensa y Justicia,Superliga,"7,85 mio. €",97,"17,44 mio. €",98,"9,59 mio. €"
246,,CA Independiente,Superliga,"7,09 mio. €",70,"20,61 mio. €",70,"13,52 mio. €"
247,,Fluminense Football Club,Série A,"6,75 mio. €",75,"36,16 mio. €",81,"29,42 mio. €"
248,,Cruzeiro Esporte Clube,Série A,"6,09 mio. €",135,"12,21 mio. €",135,"6,13 mio. €"
249,,Club Libertad Asunción,Primera División Apertura,"6,01 mio. €",50,"15,51 mio. €",47,"9,50 mio. €"
250,,UNAM Pumas,Liga MX Clausura,"5,80 mio. €",52,"17,28 mio. €",47,"11,48 mio. €"
