#,Club(s),Club(s),Compétition,Dépenses,Arrivées,Revenus,Départs,Solde
82,,CF América,Liga MX Clausura,"46,85 mio. €",84,"4,33 mio. €",78,"-42,52 mio. €"
83,,Charlton Athletic,League One,"45,65 mio. €",188,"57,70 mio. €",188,"12,05 mio. €"
84,,Bayer 04 Leverkusen,Bundesliga,"44,93 mio. €",62,"36,38 mio. €",60,"-8,55 mio. €"
85,,Sporting CP,Liga Portugal,"44,91 mio. €",160,"46,45 mio. €",163,"1,54 mio. €"
86,,TSG 1899 Hoffenheim,Bundesliga,"44,80 mio. €",63,400 K €,61,"-44,40 mio. €"
87,,LOSC Lille,Ligue 1,"44,55 mio. €",65,"83,50 mio. €",70,"38,95 mio. €"
88,,Dnipro Dnipropetrovsk  (-2020),Premier Liga,"44,24 mio. €",76,"11,70 mio. €",76,"-32,54 mio. €"
89,,OGC Nice,Ligue 1,"43,85 mio. €",76,"52,75 mio. €",74,"8,90 mio. €"
90,,Espanyol Barcelona,LaLiga,"43,65 mio. €",73,"40,15 mio. €",69,"-3,50 mio. €"
91,,Borussia Mönchengladbach,Bundesliga,"43,63 mio. €",69,"33,57 mio. €",69,"-10,06 mio. €"
92,,AJ Auxerre,Ligue 1,"43,30 mio. €",65,"66,80 mio. €",68,"23,50 mio. €"
93,,Corinthians São Paulo,Série A,"43,13 mio. €",224,"89,36 mio. €",230,"46,23 mio. €"
94,,Hull City,Premier League,"43,06 mio. €",118,"21,47 mio. €",117,"-21,59 mio. €"
95,,Trabzonspor,Süper Lig,"42,64 mio. €",140,"33,59 mio. €",142,"-9,05 mio. €"
96,,Toulouse FC,Ligue 1,"42,30 mio. €",63,"41,85 mio. €",65,-450 K €
97,,Wolverhampton Wanderers,Premier League,"41,81 mio. €",149,"25,24 mio. €",145,"-16,57 mio. €"
98,,RCD Mallorca,LaLiga,"40,88 mio. €",81,"62,92 mio. €",86,"22,04 mio. €"
99,,Derby County,Championship,"39,85 mio. €",165,"27,07 mio. €",163,"-12,78 mio. €"
100,,FC Bologna,Serie A,"39,02 mio. €",96,"18,85 mio. €",95,"-20,17 mio. €"
101,,Racing Santander,LaLiga,"38,13 mio. €",90,"49,75 mio. €",94,"11,62 mio. €"
102,,RSC Anderlecht,Jupiler Pro League,"38,13 mio. €",84,"43,46 mio. €",88,"5,34 mio. €"
103,,CA Boca Juniors,Torneo Final,"36,78 mio. €",129,"92,43 mio. €",127,"55,65 mio. €"
104,,Le Mans Union Club 72,Ligue 1,"35,98 mio. €",75,"57,35 mio. €",71,"21,37 mio. €"
105,,Deportivo de La Coruña,LaLiga,"35,32 mio. €",77,"71,96 mio. €",78,"36,64 mio. €"
106,,Feyenoord Rotterdam,Eredivisie,"34,95 mio. €",117,"54,00 mio. €",119,"19,05 mio. €"
107,,Atalanta BC,Serie A,"34,84 mio. €",133,"73,82 mio. €",135,"38,98 mio. €"
108,,FC Sochaux-Montbéliard,Ligue 1,"33,85 mio. €",87,"58,10 mio. €",93,"24,25 mio. €"
109,,Catania Calcio,Serie A,"33,45 mio. €",122,"19,25 mio. €",118,"-14,20 mio. €"
110,,Red Bull Salzbourg,Bundesliga,"33,40 mio. €",73,"4,92 mio. €",74,"-28,48 mio. €"
111,,FC Reading,Championship,"33,19 mio. €",162,"38,08 mio. €",151,"4,89 mio. €"
112,,Athletic Bilbao,LaLiga,"32,88 mio. €",52,"19,30 mio. €",52,"-13,58 mio. €"
113,,CA River Plate,Torneo Final,"32,23 mio. €",122,"100,33 mio. €",131,"68,10 mio. €"
114,,Steaua Bucarest,SuperLiga,"32,00 mio. €",88,"23,70 mio. €",91,"-8,30 mio. €"
115,,Hertha BSC,Bundesliga,"31,79 mio. €",71,"34,90 mio. €",70,"3,12 mio. €"
116,,1. FC Köln,Bundesliga,"31,74 mio. €",78,"15,58 mio. €",78,"-16,17 mio. €"
117,,UD Almería,LaLiga,"31,40 mio. €",58,"15,50 mio. €",62,"-15,90 mio. €"
118,,SC Heerenveen,Eredivisie,"31,39 mio. €",103,"78,73 mio. €",102,"47,34 mio. €"
119,,Al-Ain FC,Émirats Arabes Unis,"29,06 mio. €",45,"3,80 mio. €",45,"-25,26 mio. €"
120,,Club Brugge KV,Jupiler Pro League,"28,93 mio. €",70,"12,40 mio. €",70,"-16,53 mio. €"
121,,FC Moscou,Russie,"27,65 mio. €",77,"41,02 mio. €",83,"13,37 mio. €"
122,,Al-Jazira (Abu Dhabi),Émirats Arabes Unis,"27,18 mio. €",41,"5,00 mio. €",29,"-22,18 mio. €"
123,,SC Internacional Porto Alegre,Série A,"27,06 mio. €",205,"110,90 mio. €",210,"83,84 mio. €"
124,,AS Nancy-Lorraine,Ligue 1,"27,00 mio. €",59,"28,45 mio. €",57,"1,45 mio. €"
125,,Saturn Ramenskoe,Premier Liga,"26,20 mio. €",81,"14,91 mio. €",69,"-11,29 mio. €"
126,,FC Nantes,Ligue 2,"26,20 mio. €",105,"31,55 mio. €",105,"5,35 mio. €"
127,,FC Copenhague,Superligaen,"25,58 mio. €",56,"21,93 mio. €",59,"-3,66 mio. €"
128,,Hannover 96,Bundesliga,"24,90 mio. €",61,"9,97 mio. €",59,"-14,93 mio. €"
129,,CFR Cluj,SuperLiga,"24,84 mio. €",103,"12,87 mio. €",105,"-11,97 mio. €"
130,,Al-Hilal Saudi FC,Saudi Pro League,"24,70 mio. €",41,"1,45 mio. €",43,"-23,25 mio. €"
131,,FC Watford,Championship,"24,64 mio. €",142,"40,87 mio. €",143,"16,23 mio. €"
132,,AS Bari,Serie A,"24,52 mio. €",146,"4,80 mio. €",149,"-19,72 mio. €"
133,,Al-Ittihad Club (Jeddah),Saudi Pro League,"24,05 mio. €",48,"2,45 mio. €",55,"-21,60 mio. €"
134,,Tigres UANL,Liga MX Clausura,"22,73 mio. €",102,"5,83 mio. €",104,"-16,90 mio. €"
135,,Reggina Calcio,Serie B,"22,50 mio. €",156,"52,48 mio. €",158,"29,98 mio. €"
136,,Ipswich Town,Championship,"22,33 mio. €",140,"14,14 mio. €",136,"-8,19 mio. €"
137,,Burnley FC,Premier League,"22,24 mio. €",95,"11,50 mio. €",76,"-10,74 mio. €"
138,,FC Timisoara,SuperLiga,"22,06 mio. €",150,"14,50 mio. €",151,"-7,57 mio. €"
139,,Eintracht Francfort,Bundesliga,"21,82 mio. €",51,"7,05 mio. €",47,"-14,77 mio. €"
140,,Valenciennes FC,Ligue 1,"21,45 mio. €",55,"11,80 mio. €",53,"-9,65 mio. €"
141,,Al-Arabi SC,Qatar,"21,40 mio. €",31,"2,70 mio. €",35,"-18,70 mio. €"
142,,AS Livorno,Serie A,"21,19 mio. €",104,"36,00 mio. €",101,"14,81 mio. €"
143,,Crystal Palace,Championship,"21,13 mio. €",111,"38,04 mio. €",118,"16,92 mio. €"
144,,FC Bâle 1893,Super League,"21,03 mio. €",72,"41,52 mio. €",74,"20,50 mio. €"
145,,FC Groningen,Eredivisie,"20,00 mio. €",57,"35,50 mio. €",57,"15,50 mio. €"
146,,CA Osasuna,LaLiga,"19,71 mio. €",59,"38,45 mio. €",57,"18,74 mio. €"
147,,Queens Park Rangers,Championship,"19,58 mio. €",150,"13,59 mio. €",147,"-5,99 mio. €"
148,,FC Southampton,League One,"19,35 mio. €",159,"73,79 mio. €",158,"54,45 mio. €"
149,,FC Twente Enschede,Eredivisie,"18,85 mio. €",61,"32,15 mio. €",60,"13,30 mio. €"
150,,Standard de Liège,Jupiler Pro League,"18,84 mio. €",92,"32,05 mio. €",89,"13,21 mio. €"
151,,Nottingham Forest,Championship,"18,63 mio. €",143,"2,26 mio. €",148,"-16,38 mio. €"
152,,GNK Dinamo Zagreb,SuperSport HNL,"18,29 mio. €",118,"80,79 mio. €",130,"62,50 mio. €"
153,,Rapid Bucarest FC,SuperLiga,"18,09 mio. €",78,"18,94 mio. €",72,847 K €
154,,AEK Athènes,Super League 1,"17,55 mio. €",127,"15,50 mio. €",126,"-2,05 mio. €"
155,,Etoile Rouge de Belgrade,Super liga Srbije,"17,17 mio. €",151,"47,17 mio. €",154,"30,00 mio. €"
156,,CA San Lorenzo de Almagro,Torneo Final,"16,75 mio. €",97,"35,70 mio. €",100,"18,95 mio. €"
157,,Cruzeiro Esporte Clube,Série A,"16,40 mio. €",380,"98,20 mio. €",400,"81,81 mio. €"
158,,1.FC Nürnberg,Bundesliga,"15,78 mio. €",72,"29,82 mio. €",72,"14,04 mio. €"
159,,Recreativo Huelva,LaLiga2,"15,29 mio. €",82,"18,01 mio. €",85,"2,73 mio. €"
160,,KRC Genk,Jupiler Pro League,"14,94 mio. €",61,"17,43 mio. €",59,"2,49 mio. €"
161,,FC Dinamo 1948,SuperLiga,"14,71 mio. €",133,"16,93 mio. €",140,"2,22 mio. €"
162,,Desportivo Brasil Ltda (SP),Brésil,"14,66 mio. €",139,"36,12 mio. €",139,"21,46 mio. €"
163,,Al-Wahda FC Abu Dhabi,Émirats Arabes Unis,"14,42 mio. €",39,"1,65 mio. €",40,"-12,77 mio. €"
164,,VfL Bochum,Bundesliga,"14,20 mio. €",65,"8,82 mio. €",67,"-5,38 mio. €"
165,,FC Lorient,Ligue 1,"14,20 mio. €",81,"18,50 mio. €",88,"4,30 mio. €"
166,,US Lecce,Serie B,"13,85 mio. €",139,"45,02 mio. €",138,"31,18 mio. €"
167,,Club Estudiantes de La Plata,Torneo Final,"13,77 mio. €",87,"39,77 mio. €",89,"25,99 mio. €"
168,,Leicester City,Championship,"13,43 mio. €",149,"12,90 mio. €",149,-530 K €
169,,Racing Club,Torneo Final,"13,31 mio. €",119,"30,11 mio. €",122,"16,80 mio. €"
170,,Metalurg Donetsk (- 2015),Premier Liga,"13,29 mio. €",130,"6,22 mio. €",130,"-7,07 mio. €"
171,,Clube Regatas Flamengo,Série A,"13,17 mio. €",159,"16,75 mio. €",157,"3,58 mio. €"
172,,Norwich City,League One,"13,16 mio. €",135,"30,69 mio. €",135,"17,53 mio. €"
173,,FC São Paulo,Série A,"13,08 mio. €",193,"65,19 mio. €",199,"52,12 mio. €"
174,,Real Sociedad,LaLiga2,"13,04 mio. €",62,"17,85 mio. €",62,"4,81 mio. €"
175,,1.FSV Mainz 05,Bundesliga,"13,02 mio. €",72,"20,12 mio. €",69,"7,10 mio. €"
176,,CA Independiente,Torneo Final,"12,98 mio. €",100,"60,76 mio. €",112,"47,79 mio. €"
177,,Bröndby IF,Superligaen,"12,96 mio. €",58,"28,21 mio. €",58,"15,25 mio. €"
178,,Bristol City,Championship,"12,60 mio. €",142,"7,98 mio. €",146,"-4,62 mio. €"
179,,Brescia Calcio,Serie B,"12,50 mio. €",105,"53,25 mio. €",119,"40,75 mio. €"
180,,Sociedade Esportiva Palmeiras,Série A,"12,46 mio. €",213,"25,53 mio. €",216,"13,06 mio. €"
181,,Cardiff City,Championship,"12,46 mio. €",115,"37,08 mio. €",119,"24,61 mio. €"
182,,Preston North End,Championship,"12,34 mio. €",119,"21,69 mio. €",122,"9,35 mio. €"
183,,CD Cruz Azul,Liga MX Clausura,"12,32 mio. €",89,"18,72 mio. €",89,"6,40 mio. €"
184,,Coventry City,Championship,"12,29 mio. €",137,"17,13 mio. €",137,"4,84 mio. €"
185,,Leeds United,League One,"12,24 mio. €",144,"25,84 mio. €",147,"13,60 mio. €"
186,,Rosenborg BK,Eliteserien,"12,24 mio. €",52,"15,98 mio. €",55,"3,74 mio. €"
187,,CF Monterrey,Liga MX Clausura,"12,00 mio. €",102,"8,10 mio. €",100,"-3,90 mio. €"
188,,Al-Gharafa SC,Qatar,"12,00 mio. €",34,250 K €,29,"-11,75 mio. €"
189,,Krylya Sovetov Samara,Premier Liga,"11,97 mio. €",77,"14,40 mio. €",79,"2,44 mio. €"
190,,AC Chievo Verona,Serie A,"11,94 mio. €",153,"23,76 mio. €",150,"11,82 mio. €"
191,,Real Murcia CF,LaLiga2,"11,87 mio. €",97,"7,10 mio. €",96,"-4,77 mio. €"
192,,Arminia Bielefeld,2. Bundesliga,"11,44 mio. €",63,"12,25 mio. €",66,810 K €
193,,Jaguares de Chiapas,Liga MX Clausura,"11,20 mio. €",102,"7,58 mio. €",95,"-3,63 mio. €"
194,,Kuban Krasnodar (-2018),1.Division,"11,13 mio. €",127,"12,30 mio. €",123,"1,17 mio. €"
195,,Al-Rayyan SC,Qatar,"10,99 mio. €",50,"2,30 mio. €",44,"-8,69 mio. €"
196,,Manisaspor,Süper Lig,"10,83 mio. €",127,"14,00 mio. €",130,"3,17 mio. €"
197,,Metalist Kharkiv (- 2016),Premier Liga,"10,82 mio. €",79,350 K €,84,"-10,47 mio. €"
198,,SM Caen,Ligue 2,"10,74 mio. €",50,"19,87 mio. €",54,"9,13 mio. €"
199,,Santos Laguna,Liga MX Clausura,"10,65 mio. €",55,"10,35 mio. €",51,-300 K €
200,,Real Valladolid,LaLiga,"10,61 mio. €",78,"18,00 mio. €",75,"7,40 mio. €"
201,,Al-Ahli Dubai Club (- 2017),Émirats Arabes Unis,"10,43 mio. €",24,-,23,"-10,43 mio. €"
202,,Beitar Jerusalem,Ligat ha'Al,"10,18 mio. €",79,"2,60 mio. €",82,"-7,57 mio. €"
203,,Terek Grozny,Premier Liga,"10,09 mio. €",103,"1,55 mio. €",112,"-8,54 mio. €"
204,,UD Levante,LaLiga2,"10,05 mio. €",89,"9,70 mio. €",86,-350 K €
205,,Celta Vigo,LaLiga2,"10,00 mio. €",86,"21,85 mio. €",87,"11,85 mio. €"
206,,FC Midtjylland,Superligaen,"9,74 mio. €",71,"22,27 mio. €",73,"12,54 mio. €"
207,,CSD Colo Colo,Torneo Apertura,"9,70 mio. €",109,"31,33 mio. €",104,"21,63 mio. €"
208,,FC Vaslui,SuperLiga,"9,57 mio. €",106,"3,48 mio. €",94,"-6,09 mio. €"
209,,Grêmio Porto Alegre,Série A,"9,42 mio. €",183,"38,90 mio. €",192,"29,48 mio. €"
210,,Barnsley FC,Championship,"9,34 mio. €",126,"3,47 mio. €",129,"-5,88 mio. €"
211,,Calcio Padova,Serie B,"9,33 mio. €",102,250 K €,101,"-9,08 mio. €"
212,,FC Utrecht,Eredivisie,"9,29 mio. €",55,"6,80 mio. €",56,"-2,49 mio. €"
213,,HNK Hajduk Split,SuperSport HNL,"9,10 mio. €",149,"22,18 mio. €",169,"13,08 mio. €"
214,,Tom Tomsk,Premier Liga,"9,00 mio. €",70,"8,32 mio. €",75,-675 K €
215,,AC Sparta Prague,Fortuna Liga,"8,83 mio. €",113,"23,45 mio. €",113,"14,62 mio. €"
216,,RC Strasbourg Alsace,Ligue 2,"8,67 mio. €",106,"38,84 mio. €",103,"30,17 mio. €"
217,,Zamalek SC,Premier League,"8,43 mio. €",60,"3,65 mio. €",64,"-4,79 mio. €"
218,,Empoli FC,Serie B,"8,13 mio. €",91,"39,87 mio. €",95,"31,74 mio. €"
219,,Legia Varsovie,Ekstraklasa,"8,06 mio. €",87,"15,25 mio. €",83,"7,19 mio. €"
220,,FC Energie Cottbus,2. Bundesliga,"8,03 mio. €",71,"8,50 mio. €",73,465 K €
221,,Fluminense Football Club,Série A,"8,00 mio. €",157,"50,03 mio. €",159,"42,03 mio. €"
222,,Viking FK,Eliteserien,"7,99 mio. €",60,"2,93 mio. €",64,"-5,06 mio. €"
223,,Santos FC,Série A,"7,75 mio. €",197,"44,93 mio. €",197,"37,18 mio. €"
224,,CA Banfield,Torneo Final,"7,74 mio. €",99,"25,68 mio. €",99,"17,94 mio. €"
225,,Suwon Samsung Bluewings,K League 1,"7,74 mio. €",105,"1,82 mio. €",103,"-5,92 mio. €"
226,,SK Brann,Eliteserien,"7,62 mio. €",52,"8,64 mio. €",55,"1,02 mio. €"
227,,Alania Vladikavkaz,Premier Liga,"7,59 mio. €",107,720 K €,108,"-6,87 mio. €"
228,,SK Slavia Prague,Fortuna Liga,"7,49 mio. €",121,"22,43 mio. €",113,"14,95 mio. €"
229,,Amkar Perm,Premier Liga,"7,48 mio. €",54,"2,90 mio. €",55,"-4,58 mio. €"
230,,MSV Duisburg,2. Bundesliga,"7,37 mio. €",82,"4,81 mio. €",82,"-2,56 mio. €"
231,,SC Braga,Liga Portugal,"7,33 mio. €",164,"22,35 mio. €",162,"15,02 mio. €"
232,,Vitesse Arnhem,Eredivisie,"7,31 mio. €",74,"14,30 mio. €",74,"7,00 mio. €"
233,,Urawa Red Diamonds,J1 League,"7,25 mio. €",43,"8,00 mio. €",46,750 K €
234,,Al-Shabab Al-Arabi Club (1958-2017),Émirats Arabes Unis,"7,22 mio. €",21,-,20,"-7,22 mio. €"
235,,Milan Primavera,Campionato Primavera Girone B,"7,20 mio. €",48,450 K €,83,"-6,75 mio. €"
236,,Grenoble Foot 38,Ligue 1,"7,13 mio. €",70,"1,00 mio. €",70,"-6,13 mio. €"
237,,Genclerbirligi Ankara,Süper Lig,"7,00 mio. €",164,"11,38 mio. €",164,"4,38 mio. €"
238,,Nagoya Grampus,J1 League,"6,98 mio. €",62,"5,70 mio. €",66,"-1,28 mio. €"
239,,AC Cesena,Serie B,"6,93 mio. €",127,"6,94 mio. €",122,16 K €
240,,EA Guingamp,Ligue 2,"6,86 mio. €",66,"6,83 mio. €",67,-35 K €
241,,Ulsan Hyundai,K League 1,"6,70 mio. €",99,"4,40 mio. €",88,"-2,30 mio. €"
242,,Deportivo Guadalajara,Liga MX Clausura,"6,60 mio. €",65,"13,25 mio. €",67,"6,65 mio. €"
243,,UNAM Pumas,Liga MX Clausura,"6,01 mio. €",43,"11,00 mio. €",44,"4,99 mio. €"
244,,Tiburones Rojos de Veracruz,Liga Expansión MX Cl.,"5,46 mio. €",141,"3,40 mio. €",146,"-2,06 mio. €"
245,,Atlas Guadalajara,Liga MX Clausura,"5,35 mio. €",100,"14,44 mio. €",89,"9,09 mio. €"
246,,Tecos de la UAG,Liga MX Clausura,"4,70 mio. €",86,"9,80 mio. €",87,"5,10 mio. €"
247,,Club Universidad de Chile,Torneo Apertura,"4,55 mio. €",93,"5,87 mio. €",98,"1,33 mio. €"
248,,Club Atlético Lanús,Torneo Final,"3,85 mio. €",62,"32,75 mio. €",69,"28,90 mio. €"
249,,Deportivo Toluca,Liga MX Clausura,"3,80 mio. €",68,"2,00 mio. €",65,"-1,80 mio. €"
250,,Club Necaxa,Liga Expansión MX Cl.,"3,50 mio. €",121,"6,30 mio. €",123,"2,80 mio. €"
