#,Club(s),Club(s),Compétition,Dépenses,Arrivées,Revenus,Départs,Solde
148,,Birmingham City,Championship,"26,49 mio. €",167,"51,27 mio. €",163,"24,78 mio. €"
149,,GNK Dinamo Zagreb,SuperSport HNL,"26,12 mio. €",164,"54,14 mio. €",160,"28,02 mio. €"
150,,CA River Plate,Superliga,"25,95 mio. €",101,"54,99 mio. €",100,"29,05 mio. €"
151,,KAA La Gantoise,Jupiler Pro League,"25,48 mio. €",106,"16,60 mio. €",105,"-8,88 mio. €"
152,,Montpellier Hérault SC,Ligue 1,"25,30 mio. €",55,"66,40 mio. €",58,"41,10 mio. €"
153,,FC Copenhague,Superligaen,"25,27 mio. €",78,"33,40 mio. €",74,"8,13 mio. €"
154,,Steaua Bucarest,SuperLiga,"25,10 mio. €",110,"34,76 mio. €",112,"9,66 mio. €"
155,,1. FC Köln,Bundesliga,"24,85 mio. €",94,"25,30 mio. €",96,447 K €
156,,Burnley FC,Premier League,"24,82 mio. €",126,"26,25 mio. €",130,"1,44 mio. €"
157,,Espanyol Barcelona,LaLiga,"24,35 mio. €",80,"79,10 mio. €",87,"54,75 mio. €"
158,,Middlesbrough FC,Championship,"23,59 mio. €",140,"22,55 mio. €",136,"-1,05 mio. €"
159,,Al-Ahli Saudi FC,Saudi Pro League,"23,53 mio. €",66,"1,60 mio. €",70,"-21,93 mio. €"
160,,Jiangsu Guoxin Sainty,Super League,"23,03 mio. €",66,"4,90 mio. €",76,"-18,13 mio. €"
161,,FC Getafe,LaLiga,"22,90 mio. €",68,"68,18 mio. €",70,"45,28 mio. €"
162,,Hertha BSC,Bundesliga,"22,85 mio. €",71,"39,43 mio. €",73,"16,58 mio. €"
163,,CF Pachuca,Liga MX Clausura,"22,72 mio. €",159,"36,40 mio. €",156,"13,69 mio. €"
164,,Dalian Aerbin,League One,"22,57 mio. €",78,"25,69 mio. €",68,"3,12 mio. €"
165,,FC Augsburg,Bundesliga,"22,55 mio. €",77,"8,09 mio. €",73,"-14,47 mio. €"
166,,Toronto FC,MLS,"22,25 mio. €",125,"3,50 mio. €",125,"-18,75 mio. €"
167,,Fluminense Football Club,Série A,"22,05 mio. €",186,"51,47 mio. €",194,"29,42 mio. €"
168,,Bursaspor,Süper Lig,"20,70 mio. €",107,"18,61 mio. €",112,"-2,09 mio. €"
169,,Kasimpasa,Süper Lig,"20,65 mio. €",80,"7,75 mio. €",84,"-12,90 mio. €"
170,,Al-Rayyan SC,Qatar,"20,47 mio. €",39,"8,00 mio. €",58,"-12,47 mio. €"
171,,Real Betis Balompié,LaLiga2,"20,34 mio. €",85,"18,13 mio. €",88,"-2,21 mio. €"
172,,FC Sochaux-Montbéliard,Ligue 2,"19,85 mio. €",74,"41,91 mio. €",77,"22,06 mio. €"
173,,CA San Lorenzo de Almagro,Superliga,"19,63 mio. €",123,"20,50 mio. €",127,875 K €
174,,1.FC Nürnberg,2. Bundesliga,"19,22 mio. €",90,"40,10 mio. €",90,"20,88 mio. €"
175,,FC Reading,Championship,"18,97 mio. €",147,"36,84 mio. €",148,"17,88 mio. €"
176,,AZ Alkmaar,Eredivisie,"18,90 mio. €",76,"65,45 mio. €",78,"46,55 mio. €"
177,,Juventus Primavera,Campionato Primavera Girone A,"18,67 mio. €",149,"16,42 mio. €",163,"-2,25 mio. €"
178,,Al-Shabab Club (Riyadh),Saudi Pro League,"18,61 mio. €",55,550 K €,72,"-18,06 mio. €"
179,,Club Tijuana,Liga MX Clausura,"17,94 mio. €",105,"23,95 mio. €",109,"6,01 mio. €"
180,,Real Zaragoza,LaLiga2,"17,85 mio. €",94,"33,27 mio. €",99,"15,42 mio. €"
181,,Shanghai SIPG,Super League,"17,75 mio. €",49,"4,73 mio. €",49,"-13,02 mio. €"
182,,OGC Nice,Ligue 1,"17,35 mio. €",71,"39,70 mio. €",73,"22,35 mio. €"
183,,1.FC Kaiserslautern,2. Bundesliga,"17,11 mio. €",94,"14,99 mio. €",99,"-2,13 mio. €"
184,,FC Barcelona B,LaLiga2,"17,03 mio. €",75,"12,18 mio. €",74,"-4,85 mio. €"
185,,Milan Primavera,Campionato Primavera Girone B,"16,92 mio. €",122,"3,18 mio. €",130,"-13,74 mio. €"
186,,Al-Nasr SC (UAE),UAE Pro League,"16,85 mio. €",51,-,63,"-16,85 mio. €"
187,,Al-Ittihad Club (Jeddah),Saudi Pro League,"16,61 mio. €",71,300 K €,76,"-16,31 mio. €"
188,,Novara Calcio 1908,Serie C - A,"16,44 mio. €",166,"16,49 mio. €",163,50 K €
189,,Leeds United,Championship,"15,68 mio. €",151,"22,63 mio. €",147,"6,96 mio. €"
190,,Gaziantepspor,Süper Lig,"15,66 mio. €",92,"13,09 mio. €",92,"-2,57 mio. €"
191,,Club Universidad de Chile,Torneo Clausura,"15,52 mio. €",117,"61,97 mio. €",121,"46,45 mio. €"
192,,Celta Vigo,LaLiga,"15,45 mio. €",53,"12,36 mio. €",56,"-3,09 mio. €"
193,,Brighton & Hove Albion,Championship,"15,14 mio. €",135,"22,27 mio. €",136,"7,14 mio. €"
194,,Racing Club,Superliga,"14,85 mio. €",103,"37,40 mio. €",110,"22,55 mio. €"
195,,Cesena Primavera,Campionato Primavera Girone B,"14,55 mio. €",128,"2,50 mio. €",131,"-12,05 mio. €"
196,,Genclerbirligi Ankara,Süper Lig,"14,49 mio. €",125,"16,20 mio. €",125,"1,71 mio. €"
197,,Brescia Calcio,Serie B,"14,35 mio. €",135,"52,42 mio. €",131,"38,07 mio. €"
198,,FC Bari 1908,Serie B,"14,30 mio. €",198,"41,26 mio. €",206,"26,96 mio. €"
199,,BSC Young Boys,Super League,"14,09 mio. €",75,"39,62 mio. €",80,"25,53 mio. €"
200,,Manchester City U18,Angleterre,"13,78 mio. €",50,-,86,"-13,78 mio. €"
201,,Derby County,Championship,"13,33 mio. €",154,"7,25 mio. €",154,"-6,08 mio. €"
202,,Feyenoord Rotterdam,Eredivisie,"13,30 mio. €",80,"50,60 mio. €",81,"37,30 mio. €"
203,,Botafogo de Futebol e Regatas,Série B,"13,23 mio. €",206,"48,04 mio. €",200,"34,82 mio. €"
204,,Kayserispor,1.Lig,"13,02 mio. €",88,"33,39 mio. €",85,"20,37 mio. €"
205,,Club Atlético Lanús,Superliga,"12,95 mio. €",115,"36,02 mio. €",120,"23,07 mio. €"
206,,Santos Laguna,Liga MX Clausura,"12,85 mio. €",88,"28,09 mio. €",89,"15,24 mio. €"
207,,Ternana Calcio,Serie B,"12,78 mio. €",105,"2,40 mio. €",106,"-10,38 mio. €"
208,,CA Independiente,Superliga,"12,76 mio. €",119,"6,35 mio. €",117,"-6,41 mio. €"
209,,Alania Vladikavkaz,2 League Group 1,"12,65 mio. €",110,"5,00 mio. €",105,"-7,65 mio. €"
210,,Basaksehir FK,Süper Lig,"12,45 mio. €",68,"5,13 mio. €",74,"-7,32 mio. €"
211,,FC Groningen,Eredivisie,"12,44 mio. €",79,"30,32 mio. €",80,"17,88 mio. €"
212,,Glasgow Rangers,First Division,"12,33 mio. €",94,"16,93 mio. €",96,"4,61 mio. €"
213,,Seattle Sounders FC,MLS,"12,32 mio. €",101,"5,25 mio. €",103,"-7,07 mio. €"
214,,AFC Bournemouth,Championship,"12,28 mio. €",162,"8,94 mio. €",147,"-3,34 mio. €"
215,,Bröndby IF,Superligaen,"11,84 mio. €",58,"5,80 mio. €",60,"-6,04 mio. €"
216,,SL Benfica B,Liga Sabseg,"11,79 mio. €",100,"1,00 mio. €",81,"-10,79 mio. €"
217,,Club Africain Tunis,Ligue I Pro,"11,76 mio. €",119,"3,56 mio. €",123,"-8,20 mio. €"
218,,Vitesse Arnhem,Eredivisie,"11,67 mio. €",78,"33,90 mio. €",78,"22,23 mio. €"
219,,Changchun Yatai,Super League,"11,40 mio. €",76,"3,73 mio. €",87,"-7,67 mio. €"
220,,SC Heerenveen,Eredivisie,"11,25 mio. €",91,"54,50 mio. €",89,"43,25 mio. €"
221,,Maccabi Haifa,Ligat ha'Al,"11,21 mio. €",131,"7,90 mio. €",130,"-3,31 mio. €"
222,,FC Watford,Championship,"11,14 mio. €",178,"15,22 mio. €",176,"4,08 mio. €"
223,,Tianjin Teda,Super League,"11,09 mio. €",78,"4,76 mio. €",86,"-6,34 mio. €"
224,,Maccabi Tel Aviv,Ligat ha'Al,"11,09 mio. €",132,"6,32 mio. €",130,"-4,77 mio. €"
225,,Desportivo Brasil Ltda (SP),Brésil,"11,05 mio. €",166,"38,15 mio. €",182,"27,10 mio. €"
226,,Vicenza Calcio,Serie B,"11,01 mio. €",192,"21,64 mio. €",197,"10,63 mio. €"
227,,CA Vélez Sarsfield,Superliga,"10,93 mio. €",77,"57,93 mio. €",85,"47,00 mio. €"
228,,FC Utrecht,Eredivisie,"10,80 mio. €",75,"29,58 mio. €",75,"18,78 mio. €"
229,,Club Deportivo Maldonado,Liga de Ascenso,"10,76 mio. €",136,"16,50 mio. €",126,"5,74 mio. €"
230,,Guizhou Renhe,Super League,"10,47 mio. €",81,"8,85 mio. €",86,"-1,62 mio. €"
231,,Valenciennes FC,Ligue 2,"10,30 mio. €",56,"24,70 mio. €",58,"14,40 mio. €"
232,,Spezia Calcio,Serie B,"10,28 mio. €",155,"2,00 mio. €",146,"-8,28 mio. €"
233,,Clube de Regatas Vasco da Gama,Série A,"10,06 mio. €",203,"38,14 mio. €",215,"28,08 mio. €"
234,,AS Nancy-Lorraine,Ligue 2,"10,05 mio. €",82,"37,30 mio. €",83,"27,25 mio. €"
235,,Huddersfield Town,Championship,"10,03 mio. €",157,"20,55 mio. €",160,"10,52 mio. €"
236,,Eskisehirspor,Süper Lig,"9,83 mio. €",90,"20,05 mio. €",89,"10,22 mio. €"
237,,Club Estudiantes de La Plata,Superliga,"9,82 mio. €",110,"40,60 mio. €",112,"30,78 mio. €"
238,,CD Cruz Azul,Liga MX Clausura,"9,76 mio. €",92,"8,64 mio. €",97,"-1,12 mio. €"
239,,Henan Jianye,Super League,"9,75 mio. €",64,"5,05 mio. €",66,"-4,70 mio. €"
240,,Rosenborg BK,Eliteserien,"9,72 mio. €",65,"19,68 mio. €",65,"9,96 mio. €"
241,,Chiapas FC (- 2017),Liga MX Clausura,"9,53 mio. €",167,"17,71 mio. €",166,"8,19 mio. €"
242,,Monarcas Morelia,Liga MX Clausura,"8,70 mio. €",172,"8,29 mio. €",167,-410 K €
243,,Querétaro FC,Liga MX Clausura,"8,13 mio. €",204,"1,20 mio. €",205,"-6,93 mio. €"
244,,Atlas Guadalajara,Liga MX Clausura,"8,04 mio. €",141,"12,35 mio. €",153,"4,31 mio. €"
245,,Ludogorets Razgrad,Efbet liga - Championship gr.,"7,66 mio. €",87,-,68,"-7,66 mio. €"
246,,San Luis FC,Mexique,"7,55 mio. €",127,"3,17 mio. €",151,"-4,38 mio. €"
247,,Deportivo Toluca,Liga MX Clausura,"7,40 mio. €",101,"8,58 mio. €",102,"1,18 mio. €"
248,,Club León FC,Liga MX Clausura,"7,30 mio. €",112,"1,00 mio. €",111,"-6,30 mio. €"
249,,CA Newell's Old Boys,Superliga,"5,43 mio. €",92,"12,78 mio. €",89,"7,35 mio. €"
250,,Atlético Nacional,Liga DIMAYOR II,"5,35 mio. €",129,"28,82 mio. €",143,"23,47 mio. €"
