#,Club(s),Club(s),Compétition,Dépenses,Arrivées,Revenus,Départs,Solde
1,,AC Milan,Serie A,384 K €,105,-,146,-384 K €
126,,Raith Rovers FC,Écosse,3 K €,12,73 K €,11,69 K €
127,,FC Granada,LaLiga,3 K €,53,4 K €,60,1 K €
128,,Athletic Bilbao,LaLiga,3 K €,51,40 K €,44,37 K €
129,,Dunfermline Athletic FC,Écosse,3 K €,17,8 K €,11,5 K €
130,,Real Gijón,LaLiga2,3 K €,33,-,50,-3 K €
131,,Halifax Town (- 2008),Angleterre,3 K €,13,-,7,-3 K €
132,,Scunthorpe United,Angleterre,3 K €,28,10 K €,12,7 K €
133,,LASK,Bundesliga,3 K €,39,-,30,-3 K €
134,,Torquay United,Angleterre,2 K €,12,9 K €,12,7 K €
135,,FC Reading,Angleterre,2 K €,23,-,20,-2 K €
136,,Carlisle United,Angleterre,2 K €,12,12 K €,12,10 K €
137,,EBOH Dordrecht,Eerste Divisie B,2 K €,14,-,10,-2 K €
138,,AGOVV,Eerste Divisie A,2 K €,15,-,4,-2 K €
139,,Crewe Alexandra,Angleterre,2 K €,33,20 K €,29,18 K €
140,,Orión FC - Desamparados,Costa Rica,2 K €,3,-,1,-2 K €
141,,Derry City,Irlande du Nord,2 K €,5,-,6,-2 K €
142,,AFC Barrow,Angleterre,2 K €,17,-,12,-2 K €
143,,Swindon Town,Angleterre,2 K €,19,7 K €,7,6 K €
144,,Wrexham AFC,Pays de Galles,1 K €,25,34 K €,18,33 K €
145,,PSV Eindhoven U19,Pays-Bas,1 K €,1,-,1,-1 K €
146,,De Graafschap Doetinchem,Jack’s League,1 K €,12,16 K €,9,15 K €
147,,C & FC Hermes-DVS,Eerste Divisie A,1 K €,12,12 K €,9,11 K €
148,,RBC,Eerste Divisie A,1 K €,6,-,2,-1 K €
149,,NAC,Eredivisie,1 K €,22,73 K €,10,72 K €
150,,VfR Wormatia Worms,OL Südwest,1 K €,39,-,24,-1 K €
151,,AFC Rochdale,Angleterre,1 K €,18,-,14,-1 K €
152,,Accrington Stanley,Angleterre,1 K €,17,11 K €,15,10 K €
153,,Bury FC,Angleterre,1 K €,38,-,23,-1 K €
154,,RC Deportivo Coruña,LaLiga2,900 €,45,9 K €,69,8 K €
155,,FC Porto,Liga Portugal,748 €,31,9 K €,20,8 K €
156,,Southport FC,Angleterre,700 €,17,6 K €,19,5 K €
157,,VV Zwartemeer,Jack’s League,700 €,23,14 K €,14,13 K €
158,,SC Covilhã,Liga Portugal,650 €,6,-,4,-1 K €
159,,FC Gateshead,Angleterre,600 €,8,-,8,-1 K €
160,,FC Southampton U18,Angleterre,575 €,1,-,5,-1 K €
161,,ZFC Zaandam,Eerste Divisie B,550 €,7,3 K €,4,3 K €
162,,VfL Osnabrück,Oberliga Nord,500 €,45,-,39,-1 K €
163,,RCD Español,LaLiga,300 €,62,22 K €,75,21 K €
164,,Aberdeen FC,Écosse,230 €,32,22 K €,27,21 K €
165,,CF Os Belenenses,Liga Portugal,124 €,15,748 €,11,1 K €
166,,Newry City AFC,Irlande du Nord,-,2,-,2,+-0
167,,FC St. Pauli,Oberliga Nord,-,67,-,54,+-0
168,,Rikkyo University,Japon,-,1,-,1,+-0
169,,Esporte Clube XV de Novembro,Brésil,-,5,-,4,+-0
170,,ESV Südstern Singen,Allemagne,-,1,-,0,+-0
171,,FC Dinamo Baku (-1992),Azerbaïdjan,-,10,-,15,+-0
172,,SV Phönix Mürzzuschlag-Hönigsberg,Autriche,-,2,-,2,+-0
173,,Dynamo Khmelnytskyi,Ukraine,-,16,-,1,+-0
174,,SV Saar 05 Saarbrücken,OL Südwest,-,19,-,11,+-0
175,,Viareggio 2014,Italie,-,16,-,18,+-0
176,,US Dudelange,Luxembourg,-,1,-,1,+-0
177,,Pro Sulmona,Italie,-,2,-,1,+-0
178,,FC Eschenau,Allemagne,-,1,-,1,+-0
179,,Real Ávila CF,Espagne,-,2,90 €,2,0 K €
180,,SC/ATSV Tulln,Autriche,-,2,-,2,+-0
181,,Verkhovyna Uzhgorod,Ukraine,-,38,-,40,+-0
182,,Makedonikos Neapolis,Grèce,-,1,-,1,+-0
183,,Petrolul Ploiesti,Roumanie,-,14,-,3,+-0
184,,AC Venezia,Serie B,-,106,-,143,+-0
185,,FK Dukla Prague B,Tchéquie,-,1,-,1,+-0
186,,USM Blida,Algérie,-,2,-,2,+-0
187,,VfB Hermsdorf,Allemagne,-,2,-,2,+-0
188,,Prahova Ploiesti (1915 - 2001),Roumanie,-,1,-,1,+-0
189,,ASK Ternitz,Regionalliga Ost,-,1,-,1,+-0
190,,Central Español,Uruguay,-,2,1 K €,6,1 K €
191,,FC Middlesbrough Formation,Angleterre,-,1,-,3,+-0
192,,SC Olhanense,Portugal,-,2,-,3,+-0
193,,Greenock Morton FC,Écosse,-,3,15 K €,10,15 K €
194,,FC Vevey Sports 1899,Challenge League,-,8,-,5,+-0
195,,DOSKO Bergen op Zoom,Pays-Bas,-,6,-,6,+-0
196,,HNK Sibenik,Croatie,-,1,-,0,+-0
197,,VfR Volkmarsen,Allemagne,-,1,-,1,+-0
198,,Schwaben Augsburg U19,Allemagne,-,1,-,4,+-0
199,,Itzehoer SV,Allemagne,-,12,-,16,+-0
200,,FK Akmenes Cementas (- 2020),Lituanie,-,2,-,0,+-0
201,,ISS Admira Landhaus,Autriche,-,1,-,1,+-0
202,,KF Vllaznia,Albanie,-,1,-,5,+-0
203,,Skra Czestochowa,Pologne,-,1,-,2,+-0
204,,SC Siebenhirten,Autriche,-,2,-,4,+-0
205,,SC Halberg Brebach,Allemagne,-,2,-,2,+-0
206,,FC Corinthian-Casuals,Angleterre,-,2,-,1,+-0
207,,Wisbech Town FC,Angleterre,-,10,4 K €,6,4 K €
208,,Bradford Park Avenue,Angleterre,-,16,24 K €,17,24 K €
209,,FC Carl Zeiss Jena U19,Allemagne,-,1,-,10,+-0
210,,TSV Marl-Hüls,Oberliga West,-,10,-,1,+-0
211,,SC Mineiro Aljustrelense,Portugal,-,1,-,1,+-0
212,,SD Erandio Club,Espagne,-,2,-,5,+-0
213,,FC Burnley U18,Angleterre,-,1,-,16,+-0
214,,SSV Jahn Regensburg II,Allemagne,-,1,-,1,+-0
215,,TV Bremen-Walle,Allemagne,-,1,-,1,+-0
216,,SC Red Star Wien,Autriche,-,13,-,21,+-0
217,,Royale Jeunesse Rochefortoise FC,Belgique,-,1,-,0,+-0
218,,Annbank United FC,Écosse,-,1,-,4,+-0
219,,FK Banik Most,Tchéquie,-,1,-,2,+-0
220,,Torpedo Mykolaiv,Ukraine,-,1,-,1,+-0
221,,Metallurg Krasny Sulin,Russie,-,4,-,3,+-0
222,,Catanduva FC,Brésil,-,1,-,1,+-0
223,,TSV Straubing,Allemagne,-,2,-,5,+-0
224,,Stade Soussien,Tunisie,-,2,-,1,+-0
225,,Newtongrange Star FC,Écosse,-,2,-,7,+-0
226,,Spartaan '20,Pays-Bas,-,1,-,1,+-0
227,,Arsenal Kiew,URSS,-,15,-,13,+-0
228,,Seoul FC (1930),Corée du Sud,-,1,-,1,+-0
229,,Walsall FC U18,Angleterre,-,1,-,5,+-0
230,,Cartagena CF ( -1952),Espagne,-,2,-,2,+-0
231,,FK Jagodina,Serbie,-,1,-,1,+-0
232,,FK Sarajevo,Bosnie-Herzégovine,-,6,-,3,+-0
233,,Esbjerg fB,Danemark,-,9,-,3,+-0
234,,C.S. Trevigliese,Italie,-,1,-,4,+-0
235,,JOS Amsterdam,Pays-Bas,-,2,-,3,+-0
236,,VMS Moskau (-1953),URSS,-,44,-,44,+-0
237,,Lyn 1896 FK,Norvège,-,2,-,3,+-0
238,,PSV Schwarz-Weiß Salzburg,Autriche,-,2,-,1,+-0
239,,AS Giraumont,France,-,2,-,4,+-0
240,,AS Magenta,Nouvelle-Calédonie,-,7,-,8,+-0
241,,Valur Reykjavík,Islande,-,1,-,2,+-0
242,,SC Einheit Dresden,DDR-Oberliga,-,5,-,24,+-0
243,,FC Wohlen,Suisse,-,1,-,0,+-0
244,,Associação Portuguesa de Desportos (SP),Brésil,-,27,-,23,+-0
245,,RS Waremmien FC,Belgique,-,1,-,2,+-0
246,,SC Motor Jena,DDR-Oberliga,-,54,-,36,+-0
247,,VfB Stuttgart,Oberliga Süd,-,43,-,27,+-0
248,,Bramfelder SV,Allemagne,-,1,-,0,+-0
249,,TSG Vohwinkel 80,Allemagne,-,14,-,15,+-0
250,,Clube Atlético Linense (SP),Brésil,-,1,-,1,+-0
