#,Club(s),Club(s),Compétition,Dépenses,Arrivées,Revenus,Départs,Solde
115,,Burnley FC,First Division,257 K €,63,"1,83 mio. €",74,"1,57 mio. €"
116,,Dundee United FC,Écosse,251 K €,70,705 K €,61,454 K €
117,,SpG WSG Wattens-FC Wacker Tirol,2. Liga,250 K €,109,990 K €,107,740 K €
118,,Karlsruher SC,2. BL Süd,250 K €,127,775 K €,129,525 K €
119,,Hull City,Angleterre,242 K €,58,600 K €,58,359 K €
120,,Atlético Bachilleres,Mexique,240 K €,11,-,5,-240 K €
121,,SK Austria Klagenfurt,2. Liga,235 K €,87,11 K €,83,-224 K €
122,,FC Portsmouth,Angleterre,233 K €,69,96 K €,72,-137 K €
123,,Fenerbahce,Süper Lig,229 K €,150,109 K €,153,-120 K €
124,,RC Strasbourg Alsace,Ligue 1,225 K €,93,-,80,-225 K €
125,,NAC,Eredivisie,216 K €,104,664 K €,101,448 K €
126,,Austria de Vienne,Bundesliga,215 K €,109,46 K €,131,-169 K €
127,,AFC Bournemouth,Angleterre,212 K €,71,221 K €,77,8 K €
128,,Wuppertaler SV Borussia,2. BL Nord,210 K €,107,230 K €,96,20 K €
129,,FC Brentford,Angleterre,208 K €,62,54 K €,55,-154 K €
130,,FC Granada,LaLiga2,201 K €,66,316 K €,86,115 K €
131,,VfL Osnabrück,2. BL Nord,200 K €,105,150 K €,107,-50 K €
132,,Göztepe,Süper Lig,200 K €,82,10 K €,91,-190 K €
133,,Brescia Calcio,Serie B,197 K €,164,179 K €,216,-18 K €
134,,TSV 1860 München,Bundesliga,188 K €,134,633 K €,135,445 K €
135,,Plymouth Argyle,Angleterre,187 K €,76,797 K €,84,610 K €
136,,FC Volendam,Keuken Kampioen Divisie,183 K €,92,376 K €,91,193 K €
137,,KSV Waregem (- 2001),Jupiler Pro League,181 K €,48,-,31,-181 K €
138,,SC Telstar,Keuken Kampioen Divisie,179 K €,136,421 K €,120,242 K €
139,,FC VVV,Keuken Kampioen Divisie,176 K €,125,96 K €,117,-80 K €
140,,Besiktas JK,Süper Lig,171 K €,161,422 K €,168,251 K €
141,,Tampa Bay Rowdies,États-Unis,167 K €,27,-,19,-167 K €
142,,Celta Vigo,LaLiga2,166 K €,56,207 K €,54,41 K €
143,,Samsunspor,1.Lig,165 K €,61,-,52,-165 K €
144,,Cambridge United,First Division,164 K €,46,30 K €,33,-134 K €
145,,Haarlem,Eredivisie,164 K €,145,146 K €,133,-18 K €
146,,Oldham Athletic,First Division,162 K €,83,319 K €,78,157 K €
147,,FC Gillingham,Angleterre,162 K €,34,127 K €,29,-35 K €
148,,Lincoln City,Angleterre,162 K €,74,49 K €,78,-112 K €
149,,Kickers Offenbach,2. BL Süd,161 K €,115,775 K €,117,615 K €
150,,SL Benfica,Portugal,157 K €,82,-,78,-157 K €
151,,K. Saint-Trond VV,Belgique,156 K €,27,45 K €,25,-111 K €
152,,Mansfield Town,Angleterre,155 K €,60,340 K €,59,185 K €
153,,SC Cambuur,Keuken Kampioen Divisie,154 K €,123,-,98,-154 K €
154,,Notts County,First Division,152 K €,60,312 K €,59,160 K €
155,,Hannover 96,2. BL Nord,150 K €,116,993 K €,123,843 K €
156,,Grimsby Town,Angleterre,146 K €,48,23 K €,44,-124 K €
157,,VfB Stuttgart,Bundesliga,144 K €,97,730 K €,97,587 K €
158,,Mersin Idmanyurdu,1.Lig,140 K €,74,-,69,-140 K €
159,,Sekerspor,1.Lig,140 K €,89,-,98,-140 K €
160,,Huddersfield Town,Angleterre,140 K €,81,219 K €,85,79 K €
161,,Olympique de Marseille,Ligue 1,137 K €,108,162 K €,91,25 K €
162,,De Graafschap Doetinchem,Keuken Kampioen Divisie,133 K €,109,447 K €,89,315 K €
163,,Modena FC,Italie,128 K €,155,197 K €,213,69 K €
164,,Royal Antwerp FC,Jupiler Pro League,127 K €,76,150 K €,66,23 K €
165,,Swansea City,First Division,124 K €,75,51 K €,79,-74 K €
166,,KSK Tongeren (-2014),Belgique,121 K €,21,-,14,-121 K €
167,,Bayer 04 Leverkusen,Bundesliga,120 K €,89,75 K €,82,-45 K €
168,,Panathinaikos Athen,Super League 1,120 K €,63,-,54,-120 K €
169,,Seattle Sounders,États-Unis,116 K €,32,11 K €,28,-105 K €
170,,Racing Mechelen,Belgique,114 K €,31,-,22,-114 K €
171,,Lierse SK (- 2018),Jupiler Pro League,114 K €,54,318 K €,46,205 K €
172,,Chester City (- 2010),Angleterre,113 K €,69,135 K €,62,22 K €
173,,RV & AV Excelsior,Eredivisie,111 K €,99,256 K €,101,144 K €
174,,VV DOS Utrecht,Pays-Bas,103 K €,73,293 K €,89,190 K €
175,,Bury FC,Angleterre,103 K €,88,250 K €,85,148 K €
176,,Servette FC,Super League,100 K €,55,200 K €,58,100 K €
177,,SC Viktoria Köln (- 1994),2. BL Nord,100 K €,73,-,68,-100 K €
178,,Southend United,Angleterre,99 K €,76,409 K €,68,310 K €
179,,FC Zürich,Super League,95 K €,88,314 K €,89,219 K €
180,,HVC Amersfoort,Pays-Bas,95 K €,70,1 K €,75,-93 K €
181,,Izmirspor,Turquie,93 K €,67,95 K €,79,2 K €
182,,Tennis Borussia Berlin,2. BL Nord,90 K €,99,374 K €,83,284 K €
183,,Sporting Étoile Club Bastia,Ligue 1,90 K €,67,-,49,-90 K €
184,,VAC Beerschot (- 1999),Jupiler Pro League,89 K €,56,87 K €,57,-2 K €
185,,FC Lausanne-Sport,Super League,87 K €,73,-,81,-87 K €
186,,Peterborough United,Angleterre,86 K €,88,244 K €,77,158 K €
187,,Bradford City,Angleterre,86 K €,52,37 K €,45,-49 K €
188,,Burgos CF,LaLiga,84 K €,53,700 K €,55,616 K €
189,,MKE Ankaragücü,1.Lig,83 K €,77,75 K €,95,-8 K €
190,,KAA La Gantoise,Belgique,82 K €,69,-,65,-82 K €
191,,AC Fiorentina,Serie A,81 K €,143,20 K €,168,-61 K €
192,,Zwolsche Boys,Pays-Bas,80 K €,44,13 K €,36,-67 K €
193,,Rapid Vienne,Bundesliga,80 K €,105,714 K €,133,634 K €
194,,Edmonton Drillers,Canada,80 K €,19,-,8,-80 K €
195,,Milan AC,Serie A,80 K €,158,165 K €,191,85 K €
196,,Club Ferro Carril Oeste,Argentine,78 K €,26,-,22,-78 K €
197,,Durban United FC,Afrique du Sud,78 K €,18,-,18,-78 K €
198,,Hereford United (- 2014),Angleterre,77 K €,65,323 K €,48,246 K €
199,,Beringen FC (- 2002),Jupiler Pro League,75 K €,49,-,41,-75 K €
200,,PEC Zwolle,Eredivisie,75 K €,126,34 K €,114,-41 K €
201,,Shrewsbury Town,First Division,75 K €,42,235 K €,40,160 K €
202,,Northampton Town,Angleterre,74 K €,71,364 K €,77,290 K €
203,,Carlisle United,Angleterre,72 K €,72,345 K €,64,273 K €
204,,Alkmaar '54 (- 1967),Pays-Bas,72 K €,22,104 K €,36,32 K €
205,,FC Zaanstreek,Pays-Bas,72 K €,28,3 K €,31,-69 K €
206,,Hibernian FC,Écosse,72 K €,55,"1,02 mio. €",61,945 K €
207,,WVV Wageningen,Keuken Kampioen Divisie,71 K €,94,364 K €,82,293 K €
208,,Karsiyaka,Turquie,70 K €,62,-,79,-70 K €
209,,Holland Sport (- 1971),Pays-Bas,69 K €,66,29 K €,66,-40 K €
210,,New England Tea Men,États-Unis,69 K €,16,-,11,-69 K €
211,,Nîmes Olympique,Ligue 1,68 K €,71,-,62,-68 K €
212,,FC Reading,Angleterre,65 K €,40,28 K €,38,-37 K €
213,,FC Barcelona Atlético,2ª B - Grupo II,60 K €,136,24 K €,115,-36 K €
214,,York City,Angleterre,60 K €,57,17 K €,52,-43 K €
215,,Fortuna Sittard,Keuken Kampioen Divisie,55 K €,105,120 K €,88,65 K €
216,,Bristol Rovers,First Division,53 K €,47,458 K €,52,405 K €
217,,Cádiz CF,LaLiga2,52 K €,56,382 K €,62,330 K €
218,,EVV Eindhoven,Keuken Kampioen Divisie,52 K €,105,202 K €,87,150 K €
219,,Rotherham United,Angleterre,51 K €,60,160 K €,64,109 K €
220,,Balikesirspor,1.Lig,50 K €,59,-,53,-50 K €
221,,Washington Diplomats,États-Unis,50 K €,43,-,32,-50 K €
222,,KSC Lokeren (- 2020),Jupiler Pro League,49 K €,48,32 K €,25,-17 K €
223,,Hércules CF,LaLiga,48 K €,73,180 K €,78,132 K €
224,,Bursaspor,Süper Lig,46 K €,90,-,76,-46 K €
225,,Tulsa Roughnecks,États-Unis,46 K €,12,35 K €,6,-11 K €
226,,Doncaster Rovers,Angleterre,46 K €,79,203 K €,82,157 K €
227,,SC Enschede,Pays-Bas,45 K €,20,57 K €,44,11 K €
228,,RKSV Sittardia (- 1968),Pays-Bas,45 K €,32,-,40,-45 K €
229,,Colchester United,Angleterre,43 K €,51,27 K €,45,-15 K €
230,,FC St. Pauli,Oberliga Nord,43 K €,91,385 K €,98,343 K €
231,,Santos FC,Brésil,42 K €,60,132 K €,76,90 K €
232,,Club Alianza Lima,Pérou,42 K €,28,260 K €,34,218 K €
233,,FC Bern,Challenge League,40 K €,13,-,16,-40 K €
234,,LOSC Lille,Ligue 1,39 K €,77,-,59,-39 K €
235,,FC Chesterfield,Angleterre,38 K €,53,120 K €,50,82 K €
236,,Aldershot FC,Angleterre,37 K €,22,12 K €,19,-26 K €
237,,Pittsburgh Phantoms,États-Unis,36 K €,15,-,14,-36 K €
238,,Football Club Association Sportive de Grenoble,France,36 K €,27,-,26,-36 K €
239,,DFC Dordrecht,Pays-Bas,36 K €,65,146 K €,73,109 K €
240,,CD Málaga,LaLiga,36 K €,68,265 K €,61,229 K €
241,,Deportivo Alavés,LaLiga2,36 K €,33,210 K €,28,174 K €
242,,Scunthorpe United,Angleterre,36 K €,51,305 K €,62,269 K €
243,,SC Heerenveen,Keuken Kampioen Divisie,36 K €,103,89 K €,92,53 K €
244,,Willem II Tilburg,Eredivisie,35 K €,115,113 K €,108,78 K €
245,,Real Oviedo CF,LaLiga2,33 K €,44,192 K €,64,159 K €
246,,Torquay United,Angleterre,33 K €,60,77 K €,56,45 K €
247,,Athletic Bilbao B,2ª B - Grupo I,32 K €,38,-,46,-32 K €
248,,St. Mirren FC,Écosse,31 K €,41,109 K €,41,77 K €
249,,UD Las Palmas,LaLiga,30 K €,62,246 K €,57,216 K €
250,,Fortuna Vlaardingen,Pays-Bas,29 K €,62,53 K €,66,24 K €
